Word,MD,PartIndex,Part,Type,Meaning
abundance,Words/a/abundance.md,1,abund,stem,
abundance,Words/a/abundance.md,2,ance,suffix,名词后缀
abundant,Words/a/abundant.md,1,abund,stem,
abundant,Words/a/abundant.md,2,ant,suffix,人/物
abundantly,Words/a/abundantly.md,1,abundant,stem,
abundantly,Words/a/abundantly.md,2,ly,suffix,副词后缀
abuse,Words/a/abuse.md,1,abuse,word,
abused,Words/a/abused.md,1,abus,stem,
abused,Words/a/abused.md,2,ed,suffix,过去/形容词
abuser,Words/a/abuser.md,1,abus,stem,
abuser,Words/a/abuser.md,2,er,suffix,人/比较级
abusive,Words/a/abusive.md,1,abus,stem,
abusive,Words/a/abusive.md,2,ive,suffix,形容词后缀
abut,Words/a/abut.md,1,abut,word,
abysmal,Words/a/abysmal.md,1,abysm,stem,
abysmal,Words/a/abysmal.md,2,al,suffix,形容词/名词后缀
abyss,Words/a/abyss.md,1,abyss,word,
academia,Words/a/academia.md,1,academia,word,
academic,Words/a/academic.md,1,academ,stem,
academic,Words/a/academic.md,2,ic,suffix,形容词后缀
academically,Words/a/academically.md,1,academical,stem,
academically,Words/a/academically.md,2,ly,suffix,副词后缀
academy,Words/a/academy.md,1,academ,stem,
academy,Words/a/academy.md,2,y,suffix,形容词/名词后缀
accede,Words/a/accede.md,1,cede,root,走
accelerate,Words/a/accelerate.md,1,accelerate,word,
accelerated,Words/a/accelerated.md,1,accelerat,stem,
accelerated,Words/a/accelerated.md,2,ed,suffix,过去/形容词
accelerating,Words/a/accelerating.md,1,accelerat,stem,
accelerating,Words/a/accelerating.md,2,ing,suffix,进行/名词
acceleration,Words/a/acceleration.md,1,acceler,stem,
acceleration,Words/a/acceleration.md,2,ation,suffix,名词后缀
accelerator,Words/a/accelerator.md,1,accelerat,stem,
accelerator,Words/a/accelerator.md,2,or,suffix,人/物
accent,Words/a/accent.md,1,acc,stem,
accent,Words/a/accent.md,2,ent,suffix,人/物
accentuate,Words/a/accentuate.md,1,accentuate,word,
accept,Words/a/accept.md,1,accept,word,
acceptability,Words/a/acceptability.md,1,accept,stem,
acceptability,Words/a/acceptability.md,2,ability,suffix,能力
acceptable,Words/a/acceptable.md,1,accept,stem,
acceptable,Words/a/acceptable.md,2,able,suffix,可
acceptance,Words/a/acceptance.md,1,accept,stem,
acceptance,Words/a/acceptance.md,2,ance,suffix,名词后缀
accepted,Words/a/accepted.md,1,accept,stem,
accepted,Words/a/accepted.md,2,ed,suffix,过去/形容词
access,Words/a/access.md,1,cess,root,走
accessibility,Words/a/accessibility.md,1,cess,root,走
accessibility,Words/a/accessibility.md,2,ity,suffix,性质
accessible,Words/a/accessible.md,1,cess,root,走
accessible,Words/a/accessible.md,2,ible,suffix,可
accession,Words/a/accession.md,1,acces,stem,
accession,Words/a/accession.md,2,sion,suffix,名词后缀
accessory,Words/a/accessory.md,1,cess,root,走
accessory,Words/a/accessory.md,2,y,suffix,形容词/名词后缀
accident,Words/a/accident.md,1,cid,root,落/切
accident,Words/a/accident.md,2,ent,suffix,人/物
accidental,Words/a/accidental.md,1,cid,root,落/切
accidental,Words/a/accidental.md,2,al,suffix,形容词/名词后缀
accidentally,Words/a/accidentally.md,1,cid,root,落/切
accidentally,Words/a/accidentally.md,2,ly,suffix,副词后缀
acclaim,Words/a/acclaim.md,1,acclaim,word,
acclaimed,Words/a/acclaimed.md,1,acclaim,stem,
acclaimed,Words/a/acclaimed.md,2,ed,suffix,过去/形容词
accolade,Words/a/accolade.md,1,accolade,word,
accommodate,Words/a/accommodate.md,1,accommodate,word,
accommodation,Words/a/accommodation.md,1,accommod,stem,
accommodation,Words/a/accommodation.md,2,ation,suffix,名词后缀
accompaniment,Words/a/accompaniment.md,1,accompani,stem,
accompaniment,Words/a/accompaniment.md,2,ment,suffix,名词后缀
accompany,Words/a/accompany.md,1,accompan,stem,
accompany,Words/a/accompany.md,2,y,suffix,形容词/名词后缀
accompanying,Words/a/accompanying.md,1,accompany,stem,
accompanying,Words/a/accompanying.md,2,ing,suffix,进行/名词
accomplice,Words/a/accomplice.md,1,accomplice,word,
accomplish,Words/a/accomplish.md,1,accomplish,word,
accomplished,Words/a/accomplished.md,1,accomplish,stem,
accomplished,Words/a/accomplished.md,2,ed,suffix,过去/形容词
accomplishment,Words/a/accomplishment.md,1,accomplish,stem,
accomplishment,Words/a/accomplishment.md,2,ment,suffix,名词后缀
accord,Words/a/accord.md,1,accord,word,
accordance,Words/a/accordance.md,1,accord,stem,
accordance,Words/a/accordance.md,2,ance,suffix,名词后缀
according,Words/a/according.md,1,accord,stem,
according,Words/a/according.md,2,ing,suffix,进行/名词
accordingly,Words/a/accordingly.md,1,according,stem,
accordingly,Words/a/accordingly.md,2,ly,suffix,副词后缀
accordion,Words/a/accordion.md,1,accord,stem,
accordion,Words/a/accordion.md,2,ion,suffix,名词后缀
accost,Words/a/accost.md,1,accost,word,
account,Words/a/account.md,1,account,word,
accountability,Words/a/accountability.md,1,account,stem,
accountability,Words/a/accountability.md,2,ability,suffix,能力
accountable,Words/a/accountable.md,1,account,stem,
accountable,Words/a/accountable.md,2,able,suffix,可
accountant,Words/a/accountant.md,1,account,stem,
accountant,Words/a/accountant.md,2,ant,suffix,人/物
accounting,Words/a/accounting.md,1,account,stem,
accounting,Words/a/accounting.md,2,ing,suffix,进行/名词
accredit,Words/a/accredit.md,1,cred,root,信
accreditation,Words/a/accreditation.md,1,cred,root,信
accreditation,Words/a/accreditation.md,2,ation,suffix,名词后缀
accredited,Words/a/accredited.md,1,cred,root,信
accredited,Words/a/accredited.md,2,ed,suffix,过去/形容词
accretion,Words/a/accretion.md,1,accre,stem,
accretion,Words/a/accretion.md,2,tion,suffix,名词后缀
accrue,Words/a/accrue.md,1,accrue,word,
acculturation,Words/a/acculturation.md,1,accultur,stem,
acculturation,Words/a/acculturation.md,2,ation,suffix,名词后缀
accumulate,Words/a/accumulate.md,1,accumulate,word,
accumulated,Words/a/accumulated.md,1,accumulat,stem,
accumulated,Words/a/accumulated.md,2,ed,suffix,过去/形容词
accumulation,Words/a/accumulation.md,1,accumul,stem,
accumulation,Words/a/accumulation.md,2,ation,suffix,名词后缀
accuracy,Words/a/accuracy.md,1,accurac,stem,
accuracy,Words/a/accuracy.md,2,y,suffix,形容词/名词后缀
accurate,Words/a/accurate.md,1,accurate,word,
accurately,Words/a/accurately.md,1,accurate,stem,
accurately,Words/a/accurately.md,2,ly,suffix,副词后缀
accusation,Words/a/accusation.md,1,accus,stem,
accusation,Words/a/accusation.md,2,ation,suffix,名词后缀
accuse,Words/a/accuse.md,1,accuse,word,
accused,Words/a/accused.md,1,accus,stem,
accused,Words/a/accused.md,2,ed,suffix,过去/形容词
accuser,Words/a/accuser.md,1,accus,stem,
accuser,Words/a/accuser.md,2,er,suffix,人/比较级
accustom,Words/a/accustom.md,1,accustom,word,
accustomed,Words/a/accustomed.md,1,accustom,stem,
accustomed,Words/a/accustomed.md,2,ed,suffix,过去/形容词
ace,Words/a/ace.md,1,ace,word,
ache,Words/a/ache.md,1,ache,word,
achievable,Words/a/achievable.md,1,achiev,stem,
achievable,Words/a/achievable.md,2,able,suffix,可
achieve,Words/a/achieve.md,1,achieve,word,
achievement,Words/a/achievement.md,1,achieve,stem,
achievement,Words/a/achievement.md,2,ment,suffix,名词后缀
achiever,Words/a/achiever.md,1,achiev,stem,
achiever,Words/a/achiever.md,2,er,suffix,人/比较级
aching,Words/a/aching.md,1,ach,stem,
aching,Words/a/aching.md,2,ing,suffix,进行/名词
acid,Words/a/acid.md,1,cid,root,落/切
acidic,Words/a/acidic.md,1,cid,root,落/切
acidic,Words/a/acidic.md,2,ic,suffix,形容词后缀
acidity,Words/a/acidity.md,1,cid,root,落/切
acidity,Words/a/acidity.md,2,ity,suffix,性质
acknowledge,Words/a/acknowledge.md,1,acknowledge,word,
acknowledged,Words/a/acknowledged.md,1,acknowledg,stem,
acknowledged,Words/a/acknowledged.md,2,ed,suffix,过去/形容词
acknowledgement,Words/a/acknowledgement.md,1,acknowledge,stem,
acknowledgement,Words/a/acknowledgement.md,2,ment,suffix,名词后缀
acknowledgment,Words/a/acknowledgment.md,1,acknowledg,stem,
acknowledgment,Words/a/acknowledgment.md,2,ment,suffix,名词后缀
acne,Words/a/acne.md,1,acne,word,
acorn,Words/a/acorn.md,1,acorn,word,
acoustic,Words/a/acoustic.md,1,acoust,stem,
acoustic,Words/a/acoustic.md,2,ic,suffix,形容词后缀
acquaint,Words/a/acquaint.md,1,acquaint,word,
acquaintance,Words/a/acquaintance.md,1,acquaint,stem,
acquaintance,Words/a/acquaintance.md,2,ance,suffix,名词后缀
acquiesce,Words/a/acquiesce.md,1,acquiesce,word,
acquiescence,Words/a/acquiescence.md,1,acquiesc,stem,
acquiescence,Words/a/acquiescence.md,2,ence,suffix,名词后缀
acquire,Words/a/acquire.md,1,acquire,word,
acquired,Words/a/acquired.md,1,acquir,stem,
acquired,Words/a/acquired.md,2,ed,suffix,过去/形容词
acquisition,Words/a/acquisition.md,1,acquisi,stem,
acquisition,Words/a/acquisition.md,2,tion,suffix,名词后缀
acquit,Words/a/acquit.md,1,acquit,word,
acquittal,Words/a/acquittal.md,1,acquitt,stem,
acquittal,Words/a/acquittal.md,2,al,suffix,形容词/名词后缀
acreage,Words/a/acreage.md,1,acreage,word,
acrid,Words/a/acrid.md,1,acrid,word,
acrobat,Words/a/acrobat.md,1,acrobat,word,
acronym,Words/a/acronym.md,1,acronym,word,
across,Words/a/across.md,1,across,word,
acrylic,Words/a/acrylic.md,1,acryl,stem,
acrylic,Words/a/acrylic.md,2,ic,suffix,形容词后缀
act,Words/a/act.md,1,act,root,做
acting,Words/a/acting.md,1,act,root,做
acting,Words/a/acting.md,2,ing,suffix,进行/名词
action,Words/a/action.md,1,act,root,做
action,Words/a/action.md,2,ion,suffix,名词后缀
activate,Words/a/activate.md,1,act,root,做
activation,Words/a/activation.md,1,act,root,做
activation,Words/a/activation.md,2,ation,suffix,名词后缀
active,Words/a/active.md,1,act,root,做
active,Words/a/active.md,2,ive,suffix,形容词后缀
actively,Words/a/actively.md,1,act,root,做
actively,Words/a/actively.md,2,ly,suffix,副词后缀
activism,Words/a/activism.md,1,act,root,做
activism,Words/a/activism.md,2,ism,suffix,主义
activist,Words/a/activist.md,1,act,root,做
activist,Words/a/activist.md,2,ist,suffix,人
activity,Words/a/activity.md,1,act,root,做
activity,Words/a/activity.md,2,ity,suffix,性质
actor,Words/a/actor.md,1,act,root,做
actor,Words/a/actor.md,2,or,suffix,人/物
actress,Words/a/actress.md,1,act,root,做
actual,Words/a/actual.md,1,act,root,做
actual,Words/a/actual.md,2,al,suffix,形容词/名词后缀
actuality,Words/a/actuality.md,1,act,root,做
actuality,Words/a/actuality.md,2,ity,suffix,性质
actually,Words/a/actually.md,1,act,root,做
actually,Words/a/actually.md,2,ly,suffix,副词后缀
actuator,Words/a/actuator.md,1,act,root,做
actuator,Words/a/actuator.md,2,or,suffix,人/物
acuity,Words/a/acuity.md,1,acu,stem,
acuity,Words/a/acuity.md,2,ity,suffix,性质
acumen,Words/a/acumen.md,1,acumen,word,
acupuncture,Words/a/acupuncture.md,1,acupunct,stem,
acupuncture,Words/a/acupuncture.md,2,ure,suffix,名词后缀
acute,Words/a/acute.md,1,acute,word,
acutely,Words/a/acutely.md,1,acute,stem,
acutely,Words/a/acutely.md,2,ly,suffix,副词后缀
ad,Words/a/ad.md,1,ad,word,
adage,Words/a/adage.md,1,adage,word,
adamant,Words/a/adamant.md,1,adam,stem,
adamant,Words/a/adamant.md,2,ant,suffix,人/物
adamantly,Words/a/adamantly.md,1,man,root,手
adamantly,Words/a/adamantly.md,2,ly,suffix,副词后缀
adapt,Words/a/adapt.md,1,adapt,word,
adaptability,Words/a/adaptability.md,1,adapt,stem,
adaptability,Words/a/adaptability.md,2,ability,suffix,能力
adaptable,Words/a/adaptable.md,1,adapt,stem,
adaptable,Words/a/adaptable.md,2,able,suffix,可
adaptation,Words/a/adaptation.md,1,adapt,stem,
adaptation,Words/a/adaptation.md,2,ation,suffix,名词后缀
adapter,Words/a/adapter.md,1,adapt,stem,
adapter,Words/a/adapter.md,2,er,suffix,人/比较级
adaptive,Words/a/adaptive.md,1,adapt,stem,
adaptive,Words/a/adaptive.md,2,ive,suffix,形容词后缀
add,Words/a/add.md,1,add,word,
added,Words/a/added.md,1,add,stem,
added,Words/a/added.md,2,ed,suffix,过去/形容词
addict,Words/a/addict.md,1,dict,root,说
addiction,Words/a/addiction.md,1,addic,stem,
addiction,Words/a/addiction.md,2,tion,suffix,名词后缀
addictive,Words/a/addictive.md,1,dict,root,说
addictive,Words/a/addictive.md,2,ive,suffix,形容词后缀
addition,Words/a/addition.md,1,addi,stem,
addition,Words/a/addition.md,2,tion,suffix,名词后缀
additional,Words/a/additional.md,1,addition,stem,
additional,Words/a/additional.md,2,al,suffix,形容词/名词后缀
additionally,Words/a/additionally.md,1,additional,stem,
additionally,Words/a/additionally.md,2,ly,suffix,副词后缀
additive,Words/a/additive.md,1,addit,stem,
additive,Words/a/additive.md,2,ive,suffix,形容词后缀
address,Words/a/address.md,1,address,word,
adept,Words/a/adept.md,1,adept,word,
adequacy,Words/a/adequacy.md,1,adequac,stem,
adequacy,Words/a/adequacy.md,2,y,suffix,形容词/名词后缀
adequate,Words/a/adequate.md,1,adequate,word,
adequately,Words/a/adequately.md,1,adequate,stem,
adequately,Words/a/adequately.md,2,ly,suffix,副词后缀
adhd,Words/a/adhd.md,1,adhd,word,
adhere,Words/a/adhere.md,1,adhere,word,
adherence,Words/a/adherence.md,1,adher,stem,
adherence,Words/a/adherence.md,2,ence,suffix,名词后缀
adherent,Words/a/adherent.md,1,adher,stem,
adherent,Words/a/adherent.md,2,ent,suffix,人/物
adhesive,Words/a/adhesive.md,1,adhes,stem,
adhesive,Words/a/adhesive.md,2,ive,suffix,形容词后缀
adjacent,Words/a/adjacent.md,1,adjac,stem,
adjacent,Words/a/adjacent.md,2,ent,suffix,人/物
adjective,Words/a/adjective.md,1,ject,root,投
adjective,Words/a/adjective.md,2,ive,suffix,形容词后缀
adjoin,Words/a/adjoin.md,1,adjoin,word,
adjoining,Words/a/adjoining.md,1,adjoin,stem,
adjoining,Words/a/adjoining.md,2,ing,suffix,进行/名词
adjourn,Words/a/adjourn.md,1,adjourn,word,
adjudicate,Words/a/adjudicate.md,1,adjudicate,word,
adjunct,Words/a/adjunct.md,1,adjunct,word,
adjust,Words/a/adjust.md,1,adjust,word,
adjustable,Words/a/adjustable.md,1,adjust,stem,
adjustable,Words/a/adjustable.md,2,able,suffix,可
adjusted,Words/a/adjusted.md,1,adjust,stem,
adjusted,Words/a/adjusted.md,2,ed,suffix,过去/形容词
adjuster,Words/a/adjuster.md,1,adjust,stem,
adjuster,Words/a/adjuster.md,2,er,suffix,人/比较级
adjustment,Words/a/adjustment.md,1,adjust,stem,
adjustment,Words/a/adjustment.md,2,ment,suffix,名词后缀
administer,Words/a/administer.md,1,administ,stem,
administer,Words/a/administer.md,2,er,suffix,人/比较级
administration,Words/a/administration.md,1,administr,stem,
administration,Words/a/administration.md,2,ation,suffix,名词后缀
administrative,Words/a/administrative.md,1,administrat,stem,
administrative,Words/a/administrative.md,2,ive,suffix,形容词后缀
administrator,Words/a/administrator.md,1,administrat,stem,
administrator,Words/a/administrator.md,2,or,suffix,人/物
admirable,Words/a/admirable.md,1,admir,stem,
admirable,Words/a/admirable.md,2,able,suffix,可
admirably,Words/a/admirably.md,1,admirab,stem,
admirably,Words/a/admirably.md,2,ly,suffix,副词后缀
admiral,Words/a/admiral.md,1,admir,stem,
admiral,Words/a/admiral.md,2,al,suffix,形容词/名词后缀
admiration,Words/a/admiration.md,1,admir,stem,
admiration,Words/a/admiration.md,2,ation,suffix,名词后缀
admire,Words/a/admire.md,1,admire,word,
admirer,Words/a/admirer.md,1,admir,stem,
admirer,Words/a/admirer.md,2,er,suffix,人/比较级
admiring,Words/a/admiring.md,1,admir,stem,
admiring,Words/a/admiring.md,2,ing,suffix,进行/名词
admission,Words/a/admission.md,1,admis,stem,
admission,Words/a/admission.md,2,sion,suffix,名词后缀
admit,Words/a/admit.md,1,mit,root,送
admittedly,Words/a/admittedly.md,1,mit,root,送
admittedly,Words/a/admittedly.md,2,ly,suffix,副词后缀
admitting,Words/a/admitting.md,1,mit,root,送
admitting,Words/a/admitting.md,2,ing,suffix,进行/名词
admonish,Words/a/admonish.md,1,admonish,word,
admonition,Words/a/admonition.md,1,admoni,stem,
admonition,Words/a/admonition.md,2,tion,suffix,名词后缀
adobe,Words/a/adobe.md,1,adobe,word,
adolescence,Words/a/adolescence.md,1,adolesc,stem,
adolescence,Words/a/adolescence.md,2,ence,suffix,名词后缀
adolescent,Words/a/adolescent.md,1,adolesc,stem,
adolescent,Words/a/adolescent.md,2,ent,suffix,人/物
adopt,Words/a/adopt.md,1,adopt,word,
adopted,Words/a/adopted.md,1,adopt,stem,
adopted,Words/a/adopted.md,2,ed,suffix,过去/形容词
adoption,Words/a/adoption.md,1,adop,stem,
adoption,Words/a/adoption.md,2,tion,suffix,名词后缀
adoptive,Words/a/adoptive.md,1,adopt,stem,
adoptive,Words/a/adoptive.md,2,ive,suffix,形容词后缀
adorable,Words/a/adorable.md,1,ador,stem,
adorable,Words/a/adorable.md,2,able,suffix,可
adoration,Words/a/adoration.md,1,ador,stem,
adoration,Words/a/adoration.md,2,ation,suffix,名词后缀
adore,Words/a/adore.md,1,adore,word,
adoring,Words/a/adoring.md,1,ador,stem,
adoring,Words/a/adoring.md,2,ing,suffix,进行/名词
adorn,Words/a/adorn.md,1,adorn,word,
adornment,Words/a/adornment.md,1,adorn,stem,
adornment,Words/a/adornment.md,2,ment,suffix,名词后缀
adrenaline,Words/a/adrenaline.md,1,adrenaline,word,
adrift,Words/a/adrift.md,1,adrift,word,
adulation,Words/a/adulation.md,1,adul,stem,
adulation,Words/a/adulation.md,2,ation,suffix,名词后缀
adult,Words/a/adult.md,1,adult,word,
adultery,Words/a/adultery.md,1,adulter,stem,
adultery,Words/a/adultery.md,2,y,suffix,形容词/名词后缀
adulthood,Words/a/adulthood.md,1,adult,stem,
adulthood,Words/a/adulthood.md,2,hood,suffix,状态
advance,Words/a/advance.md,1,adv,stem,
advance,Words/a/advance.md,2,ance,suffix,名词后缀
advanced,Words/a/advanced.md,1,advanc,stem,
advanced,Words/a/advanced.md,2,ed,suffix,过去/形容词
advancement,Words/a/advancement.md,1,advance,stem,
advancement,Words/a/advancement.md,2,ment,suffix,名词后缀
advancing,Words/a/advancing.md,1,advanc,stem,
advancing,Words/a/advancing.md,2,ing,suffix,进行/名词
advantage,Words/a/advantage.md,1,advantage,word,
advantageous,Words/a/advantageous.md,1,advantage,stem,
advantageous,Words/a/advantageous.md,2,ous,suffix,充满
advent,Words/a/advent.md,1,adv,stem,
advent,Words/a/advent.md,2,ent,suffix,人/物
adventure,Words/a/adventure.md,1,advent,stem,
adventure,Words/a/adventure.md,2,ure,suffix,名词后缀
adventurer,Words/a/adventurer.md,1,adventur,stem,
adventurer,Words/a/adventurer.md,2,er,suffix,人/比较级
adventurous,Words/a/adventurous.md,1,adventur,stem,
adventurous,Words/a/adventurous.md,2,ous,suffix,充满
adversarial,Words/a/adversarial.md,1,adversari,stem,
adversarial,Words/a/adversarial.md,2,al,suffix,形容词/名词后缀
adversary,Words/a/adversary.md,1,advers,stem,
adversary,Words/a/adversary.md,2,ary,suffix,有关
adverse,Words/a/adverse.md,1,adverse,word,
adversely,Words/a/adversely.md,1,adverse,stem,
adversely,Words/a/adversely.md,2,ly,suffix,副词后缀
adversity,Words/a/adversity.md,1,advers,stem,
adversity,Words/a/adversity.md,2,ity,suffix,性质
advertise,Words/a/advertise.md,1,advertise,word,
advertisement,Words/a/advertisement.md,1,advertise,stem,
advertisement,Words/a/advertisement.md,2,ment,suffix,名词后缀
advertiser,Words/a/advertiser.md,1,advertis,stem,
advertiser,Words/a/advertiser.md,2,er,suffix,人/比较级
advertising,Words/a/advertising.md,1,advertis,stem,
advertising,Words/a/advertising.md,2,ing,suffix,进行/名词
advice,Words/a/advice.md,1,advice,word,
advisable,Words/a/advisable.md,1,vis,root,看
advisable,Words/a/advisable.md,2,able,suffix,可
advise,Words/a/advise.md,1,vis,root,看
adviser,Words/a/adviser.md,1,vis,root,看
adviser,Words/a/adviser.md,2,er,suffix,人/比较级
advisor,Words/a/advisor.md,1,vis,root,看
advisor,Words/a/advisor.md,2,or,suffix,人/物
advisory,Words/a/advisory.md,1,vis,root,看
advisory,Words/a/advisory.md,2,y,suffix,形容词/名词后缀
advocacy,Words/a/advocacy.md,1,voc,root,声/叫
advocacy,Words/a/advocacy.md,2,y,suffix,形容词/名词后缀
advocate,Words/a/advocate.md,1,voc,root,声/叫
aegis,Words/a/aegis.md,1,aegis,word,
aerial,Words/a/aerial.md,1,aeri,stem,
aerial,Words/a/aerial.md,2,al,suffix,形容词/名词后缀
aerobic,Words/a/aerobic.md,1,aerob,stem,
aerobic,Words/a/aerobic.md,2,ic,suffix,形容词后缀
aerobics,Words/a/aerobics.md,1,aerobics,word,
aerodynamic,Words/a/aerodynamic.md,1,aerodynam,stem,
aerodynamic,Words/a/aerodynamic.md,2,ic,suffix,形容词后缀
aerosol,Words/a/aerosol.md,1,aerosol,word,
aerospace,Words/a/aerospace.md,1,aerospace,word,
aesthetic,Words/a/aesthetic.md,1,aesthet,stem,
aesthetic,Words/a/aesthetic.md,2,ic,suffix,形容词后缀
aesthetically,Words/a/aesthetically.md,1,aesthetical,stem,
aesthetically,Words/a/aesthetically.md,2,ly,suffix,副词后缀
aesthetics,Words/a/aesthetics.md,1,aesthetics,word,
afar,Words/a/afar.md,1,afar,word,
affable,Words/a/affable.md,1,aff,stem,
affable,Words/a/affable.md,2,able,suffix,可
affair,Words/a/affair.md,1,affair,word,
affect,Words/a/affect.md,1,fect,root,做
affected,Words/a/affected.md,1,fect,root,做
affected,Words/a/affected.md,2,ed,suffix,过去/形容词
affection,Words/a/affection.md,1,affec,stem,
affection,Words/a/affection.md,2,tion,suffix,名词后缀
affectionate,Words/a/affectionate.md,1,fect,root,做
affectionately,Words/a/affectionately.md,1,fect,root,做
affectionately,Words/a/affectionately.md,2,ly,suffix,副词后缀
affective,Words/a/affective.md,1,fect,root,做
affective,Words/a/affective.md,2,ive,suffix,形容词后缀
affidavit,Words/a/affidavit.md,1,affidavit,word,
affiliate,Words/a/affiliate.md,1,affiliate,word,
affiliated,Words/a/affiliated.md,1,affiliat,stem,
affiliated,Words/a/affiliated.md,2,ed,suffix,过去/形容词
affiliation,Words/a/affiliation.md,1,affili,stem,
