id,word,example_no,sentence,translation,word_meaning
000044,absent,1,He has been absent from work for three days.,他已经旷工三天了。,缺席，不在
000044,absent,2,She was absent-minded during the meeting.,她在会议期间心不在焉。,心不在焉的
000044,absent,3,Love was totally absent from his childhood.,他童年时根本没有得到过爱。,不存在，没有
000045,absentee,1,The absentee rate at the factory was quite high last month.,上个月这家工厂的缺勤率相当高。,缺席者；缺勤者
000045,absentee,2,The absentee landlord never visited his properties.,这位不在当地的房东从不来查看他的房产。,不在当地的（业主等）
000045,absentee,3,Absentee voting is available for those who cannot be present on election day.,对于那些在选举日不能到场的人，可以进行缺席投票。,缺席的
000046,absently,1,She stared absently out of the window.,她心不在焉地凝视着窗外。,心不在焉地
000046,absently,2,He answered my question absently.,他心不在焉地回答了我的问题。,心不在焉地
000046,absently,3,The child played with the toys absently.,孩子心不在焉地玩着玩具。,心不在焉地
000047,absolute,1,The king had absolute power over his subjects.,国王对他的臣民拥有绝对的权力。,绝对的
000047,absolute,2,There is no absolute standard for beauty.,美没有绝对的标准。,绝对的
000047,absolute,3,The law is absolute and cannot be broken.,法律是绝对的，不能被违反。,绝对的
000048,absolutely,1,The view from the top of the mountain is absolutely breathtaking.,从山顶看到的景色绝对令人惊叹。,完全地；绝对地
000048,absolutely,2,He is absolutely right about that matter.,在那件事上他绝对是正确的。,绝对地；肯定地
000048,absolutely,3,I absolutely love this new song.,我完全喜欢这首新歌。,完全；极其
000049,absolve,1,The priest absolved him of his sins.,牧师赦免了他的罪过。,赦免；宣告\...无罪
000049,absolve,2,I cannot absolve you from all responsibility for this accident.,我不能免除你对这次事故的全部责任。,免除
000049,absolve,3,The court absolved him of the crime.,法庭宣告他无罪。,宣告无罪
000050,absorb,1,The sponge absorbs water easily.,海绵很容易吸水。,吸收
000050,absorb,2,He was completely absorbed in the book.,他完全沉浸在这本书里。,使全神贯注
000050,absorb,3,The company is trying to absorb smaller firms.,这家公司试图吞并较小的公司。,吞并；兼并
000051,absorbing,1,The absorbing novel kept me up all night.,这本引人入胜的小说让我整夜未眠。,吸引人的
000051,absorbing,2,The experiment was very absorbing and we were all concentrated.,这个实验非常吸引人，我们都全神贯注。,吸引人的
000051,absorbing,3,The absorbing documentary showed the lives of wild animals in detail.,这部引人入胜的纪录片详细展示了野生动物的生活。,引人入胜的
000052,absorption,1,The absorption of nutrients is essential for our health.,营养物质的吸收对我们的健康至关重要。,吸收
000052,absorption,2,The company\'s absorption of smaller rivals helped it expand rapidly.,这家公司对较小竞争对手的吞并帮助它迅速扩张。,吞并
000052,absorption,3,His absorption in the book made him oblivious to his surroundings.,他全神贯注于这本书，以至于没有注意到周围的环境。,全神贯注
000053,abstain,1,He decided to abstain from smoking.,他决定戒烟。,戒除；弃权
000053,abstain,2,The judge had to abstain from the case due to a conflict of interest.,由于利益冲突，这位法官不得不回避这个案子。,回避；避开
000053,abstain,3,Voters were encouraged to abstain if they had no clear preference.,如果选民没有明确的偏好，就被鼓励弃权。,弃权
000054,abstinence,1,He practiced abstinence from alcohol for several months.,他戒酒了好几个月。,戒除；节制（此处指戒除酒精）
000054,abstinence,2,Abstinence from smoking is essential for good health.,戒烟对身体健康至关重要。,戒除；避免（此处指避免吸烟）
000054,abstinence,3,The doctor recommended abstinence from rich foods to improve her condition.,医生建议她忌食油腻食物以改善身体状况。,节制；克制（此处指克制食用油腻食物）
000055,abstract,1,The abstract of the research paper summarizes the main points.,这篇研究论文的摘要总结了要点。,摘要
000055,abstract,2,She has an abstract concept of love.,她对爱有一个抽象的概念。,抽象的
000055,abstract,3,The artist likes to create abstract paintings.,这位艺术家喜欢创作抽象画。,抽象的
000056,abstraction,1,The artist\'s work often explores the abstraction of nature.,这位艺术家的作品经常探索自然的抽象化。,抽象；抽象化
000056,abstraction,2,The concept of time is often an abstraction in philosophy.,在哲学中，时间的概念常常是一种抽象。,抽象概念
000056,abstraction,3,She has a great talent for creating beautiful abstractions in her paintings.,她在绘画方面有创造美丽抽象作品的巨大天赋。,抽象作品
000057,absurd,1,It is absurd to think that we can solve all the world\'s problems overnight.,认为我们能在一夜之间解决世界上所有的问题是荒谬的。,荒谬的；荒唐的
000057,absurd,2,The plot of the movie was so absurd that I couldn\'t take it seriously.,这部电影的情节太荒谬了，我根本无法认真对待。,荒谬的；不合理的
000057,absurd,3,His absurd behavior at the party made everyone uncomfortable.,他在聚会上的荒谬行为让每个人都感到不舒服。,荒唐的；可笑的
000058,absurdity,1,The absurdity of the situation made everyone burst into laughter.,这种情况的荒谬让每个人都大笑起来。,荒谬；荒唐
000058,absurdity,2,He pointed out the absurdity of the proposal without hesitation.,他毫不犹豫地指出了这个提议的荒谬性。,荒谬；荒唐
000058,absurdity,3,The absurdity of her claim was obvious to all.,她的主张的荒谬对所有人来说都是显而易见的。,荒谬；荒唐
000059,absurdly,1,The prices in this store are absurdly high.,这家商店的价格高得离谱。,极其；非常
000059,absurdly,2,She was absurdly dressed for the occasion.,她在这个场合的穿着荒唐可笑。,荒唐地；荒谬地
000059,absurdly,3,He absurdly claimed to be a king.,他荒谬地声称自己是国王。,荒谬地；不合理地
000060,abundance,1,The region has an abundance of natural resources.,这个地区有丰富的自然资源。,丰富；大量
000060,abundance,2,She was amazed by the abundance of flowers in the garden.,她对花园里大量的花感到惊讶。,大量；充足
000060,abundance,3,The abundance of food at the party was impressive.,聚会上丰富的食物令人印象深刻。,丰富；充裕
000061,abundant,1,The region is abundant in natural resources.,这个地区自然资源丰富。,丰富的；充裕的
000061,abundant,2,We have an abundant supply of food.,我们有充足的食物供应。,充足的；大量的
000061,abundant,3,The tree bears abundant fruit every year.,这棵树每年都结出大量的果实。,大量的；丰盛的
000062,abundantly,1,The flowers grew abundantly in the garden.,花园里的花大量地生长。,丰富地；大量地
000062,abundantly,2,She smiled abundantly when she heard the good news.,当她听到这个好消息时，她笑得很灿烂。,非常；极其
000062,abundantly,3,Resources are abundantly available in this region.,这个地区的资源非常丰富。,充足地；充裕地
000063,abuse,1,He was accused of abusing his power as the manager.,他被指控滥用作为经理的权力。,滥用
000063,abuse,2,The child suffered physical and verbal abuse from his parents.,这个孩子遭受了来自父母的身体和言语上的虐待。,虐待
000063,abuse,3,She launched a bitter tirade of abuse against her ex-husband.,她对前夫破口大骂。,辱骂
000064,abusive,1,He was arrested for abusive behavior towards his girlfriend.,他因对女友的辱骂行为而被捕。,辱骂的；恶语的
000064,abusive,2,The boss\'s abusive language in the meeting was unacceptable.,老板在会议上的辱骂性语言是不可接受的。,辱骂的；侮辱性的
000064,abusive,3,She suffered from her husband\'s abusive treatment for years.,多年来她一直遭受着丈夫的虐待。,虐待的
000065,abut,1,The garden abut the house.,花园紧挨着房子。,邻接；毗邻
000065,abut,2,His land abut a river.,他的土地毗邻一条河。,紧靠；贴近
000065,abut,3,The new building abut the old one.,新大楼紧靠着旧大楼。,与......邻接
000066,abysmal,1,The team\'s performance was abysmal; they lost every game.,这个团队的表现糟透了；他们每场比赛都输了。,极坏的；糟透的
000066,abysmal,2,His knowledge of history is abysmal.,他的历史知识极度匮乏。,极度糟糕的；极差的
000066,abysmal,3,The quality of the food at that restaurant was abysmal.,那家餐厅的食物质量糟透了。,极坏的；恶劣的
000067,abyss,1,The economic crisis pushed the country to the abyss of disaster.,经济危机把这个国家推向了灾难的深渊。,深渊；绝境
000067,abyss,2,"He stared into the abyss, feeling a sense of hopelessness.",他凝视着深渊，感到一种绝望。,深渊；深不可测之处
000067,abyss,3,The war threw the region into an abyss of chaos and violence.,战争使这个地区陷入了混乱和暴力的深渊。,深渊；极度混乱的状态
000068,academia,1,"He spent his entire life in academia, conducting research and teaching.",他一生都在学术界，从事研究和教学工作。,学术界
000068,academia,2,The conference brought together experts from academia and industry.,这次会议汇集了来自学术界和工业界的专家。,学术界
000068,academia,3,She is well-known in academia for her groundbreaking work in the field of genetics.,她在学术界因在遗传学领域的开创性工作而闻名。,学术界
000069,academic,1,She has a very academic mind and always excels in her studies.,她有很强的学术头脑，在学习上总是表现出色。,学术的
000069,academic,2,The academic year begins in September.,学年从九月开始。,学术的；学业的
000069,academic,3,He is not only an academic but also an excellent athlete.,他不仅是个学者，还是一名出色的运动员。,学者；学究式的
000070,academically,1,He is academically brilliant and always gets top grades.,他在学业上很出色，总是取得最高分。,在学业方面
000070,academically,2,"The school is academically challenging, but it prepares students well for the future.",这所学校在学术上具有挑战性，但它为学生的未来做好了充分准备。,在学术上
000070,academically,3,She has performed academically better than expected this semester.,这学期她在学业上的表现比预期的要好。,在学业方面
000071,academy,1,He was expelled from the academy for bad behavior.,他因不良行为被学院开除了。,学院
000071,academy,2,The Academy Awards are highly prestigious in the film industry.,奥斯卡奖在电影行业极具声望。,学会；研究院
000071,academy,3,She has been training at a military academy for two years.,她在一所军事学院训练了两年。,学院
000072,accede,1,The king acceded to the demands of the people.,国王同意了人民的要求。,同意
000072,accede,2,She acceded to his request to borrow the car.,她答应了他借车的请求。,答应
000072,accede,3,"After much persuasion, he finally acceded to our plan.",经过多次劝说，他最终同意了我们的计划。,同意
000073,accelerate,1,The car accelerated rapidly as it entered the highway.,汽车进入高速公路时迅速加速。,（使）加速
000073,accelerate,2,The economic growth is expected to accelerate next year.,预计明年经济增长将会加快。,加快
000073,accelerate,3,His heart rate accelerated when he saw the danger.,当他看到危险时，他的心率加快了。,加快
000074,accelerated,1,The car accelerated rapidly as it entered the highway.,汽车进入高速公路时迅速加速。,加速
000074,accelerated,2,The company\'s growth has accelerated in recent years.,近年来，该公司的增长加速了。,加快
000074,accelerated,3,Her heart rate accelerated when she saw the spider.,当她看到蜘蛛时，她的心率加快了。,加快
000075,acceleration,1,The car\'s acceleration was impressive as it sped up quickly.,这辆汽车的加速令人印象深刻，因为它快速提速了。,加速
000075,acceleration,2,The acceleration of technological progress has changed our lives dramatically.,技术进步的加速极大地改变了我们的生活。,加速
000075,acceleration,3,The athlete trained hard to improve his acceleration on the track.,这位运动员努力训练以提高他在跑道上的加速度。,加速度
000076,accelerator,1,The accelerator pedal of the car malfunctioned.,汽车的油门踏板出故障了。,油门踏板
000076,accelerator,2,The new accelerator has greatly improved the performance of the machine.,新的加速器极大地提高了机器的性能。,加速器
000076,accelerator,3,She pushed the accelerator to overtake the car in front.,她踩油门加速超过前面的车。,油门
000077,accent,1,She speaks English with a French accent.,她讲英语带有法国口音。,口音；腔调
000077,accent,2,The accent of this word falls on the first syllable.,这个单词的重音在第一个音节上。,重音；重读
000077,accent,3,He put the accent on the importance of hard work.,他强调努力工作的重要性。,强调；重点
000078,accentuate,1,The red dress accentuated her curves.,这条红色的裙子突出了她的曲线。,突出；强调
000078,accentuate,2,The makeup artist used shading to accentuate the model\'s eyes.,化妆师用阴影来突出模特的眼睛。,使突出；强调
000078,accentuate,3,The dark background accentuated the bright colors of the painting.,深色的背景突出了这幅画明亮的色彩。,突出；强调
000079,accept,1,I am willing to accept your apology.,我愿意接受你的道歉。,接受
000079,accept,2,The company decided to accept the new project.,公司决定接受这个新项目。,接受
000079,accept,3,She accepted the invitation to the party.,她接受了参加聚会的邀请。,接受
000080,acceptability,1,The acceptability of the new policy remains to be seen.,新政策的可接受性还有待观察。,可接受性
000080,acceptability,2,We need to consider the acceptability of this design among consumers.,我们需要考虑这种设计在消费者中的可接受程度。,可接受性
000080,acceptability,3,The acceptability of his behavior in public was questioned.,他在公共场合的行为的可接受性受到了质疑。,可接受性
000081,acceptable,1,The quality of the product was acceptable.,这个产品的质量是可以接受的。,可接受的；令人满意的
000081,acceptable,2,His behavior was just acceptable in this situation.,在这种情况下，他的行为还算可以接受。,过得去的；尚可的
000081,acceptable,3,The proposal is acceptable to most people.,这个提议对大多数人来说是可以接受的。,能接受的；可接纳的
000082,acceptance,1,The acceptance of the new policy was met with mixed reactions.,对新政策的接受引起了不同的反应。,接受
000082,acceptance,2,Her acceptance speech was very touching.,她的获奖感言非常感人。,接受（某种荣誉或奖励）
000082,acceptance,3,The acceptance rate of this university is quite low.,这所大学的录取率相当低。,录取；接纳
000083,accepted,1,The proposal was widely accepted.,这个提议被广泛接受了。,接受
000083,accepted,2,He is accepted as a member of the club.,他被接纳为俱乐部的成员。,接纳
000083,accepted,3,The new law has now been accepted by the majority of people.,新法律现在已被大多数人所接受。,接受
000084,access,1,The only access to the farmhouse is across the fields.,到达那座农舍的唯一途径是穿过田野。,通道；途径
000084,access,2,You need a password to access the computer system.,你需要密码才能访问计算机系统。,访问；进入
000084,access,3,Students have access to good libraries at the university.,学生在大学里可以使用好的图书馆。,使用；利用
000085,accessibility,1,The accessibility of this website needs to be improved for better user experience.,这个网站的可访问性需要改进以获得更好的用户体验。,可访问性；可达性
000085,accessibility,2,We are committed to enhancing the accessibility of public transportation for people with disabilities.,我们致力于提高公共交通对于残疾人士的可达性。,可达性；可接近性
000085,accessibility,3,The accessibility of the new library is very convenient for students.,新图书馆的便利性对于学生来说非常方便。,便利性；易接近性
000086,accessible,1,The information on this website is accessible to all users.,这个网站上的信息所有用户都能获取。,可获取的；可得到的
000086,accessible,2,The museum is accessible by public transportation.,这家博物馆可以乘坐公共交通到达。,可到达的；可进入的
000086,accessible,3,This book is written in an accessible style.,这本书以一种通俗易懂的风格写成。,易懂的；易接近的
000087,accession,1,The accession of new members to the club was celebrated.,新成员加入俱乐部这件事被庆祝了。,加入；就职
000087,accession,2,The museum\'s accession of rare paintings has enhanced its collection.,博物馆新获得的稀有画作增强了其藏品。,获得；增添
000087,accession,3,The country\'s accession to the international treaty was a significant event.,这个国家加入国际条约是一件重大事件。,加入；正式同意
000088,accessory,1,She bought some fashionable accessories to match her new dress.,她买了一些时尚的配饰来搭配她的新裙子。,配饰；附件
000088,accessory,2,The accessory was essential for the proper functioning of the machine.,这个附件对于机器的正常运转是必不可少的。,附件；零件
000088,accessory,3,He was charged as an accessory to the crime.,他被指控为该罪行的从犯。,从犯；帮凶
000089,accident,1,The accident happened at the intersection.,事故发生在十字路口。,事故；意外
000089,accident,2,It was an accident. I didn\'t mean to do it.,这是个意外。我不是故意这么做的。,意外；偶然
000089,accident,3,He was injured in a car accident last week.,他上周在一场车祸中受伤了。,事故
000090,accidental,1,The fire was accidental and not caused by arson.,这场火灾是意外的，不是纵火引起的。,意外的；偶然的
000090,accidental,2,His death was ruled accidental by the coroner.,验尸官判定他的死亡是意外。,意外的；偶然发生的
000090,accidental,3,The discovery was accidental; she wasn\'t even looking for it.,这个发现是偶然的；她甚至都没有在寻找它。,偶然的；意外的
