id,word,pos,uk,us,meaning,file
000030,aboriginal,adj.,æbə\'rɪdʒɪn(ə)l,",æbə\'rɪdʒənl","adj.土著的,原来的n.土著居民",C:\GTT\EnglishDB\Words\a\aboriginal.md
000031,abort,vi.,ə\'bɔːt,ə\'bɔrt,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]",C:\GTT\EnglishDB\Words\a\abort.md
000032,abortion,n.,ə\'bɔːʃ(ə)n,ə\'bɔrʃən,"n.流产,堕胎,失败,夭折,中止,早产",C:\GTT\EnglishDB\Words\a\abortion.md
000033,abound,vi.,ə\'baʊnd,ə\'baʊnd,"vi.多,大量存在,富于,充满",C:\GTT\EnglishDB\Words\a\abound.md
000034,about,adv.,ə\'baʊt,ə\'baʊt,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在\...周围,忙于",C:\GTT\EnglishDB\Words\a\about.md
000035,above,adj.,ə\'bʌv,ə\'bʌv,"adj.上面的,上述的,上文的;adv.在上面;prep.在\...上方,过于,超出",C:\GTT\EnglishDB\Words\a\above.md
000036,abrasion,n.,ə\'breɪʒ(ə)n,ə\'breʒən,n.磨损,C:\GTT\EnglishDB\Words\a\abrasion.md
000037,abrasive,n.,ə\'breɪsɪv,ə\'bresɪv,n.研磨剂;adj.研磨的,C:\GTT\EnglishDB\Words\a\abrasive.md
000038,abreast,adv.,ə\'brest,ə\'brɛst,"adv.并肩地,并排地",C:\GTT\EnglishDB\Words\a\abreast.md
000039,abroad,adv.,ə\'brɔːd,ə\'brɔd,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",C:\GTT\EnglishDB\Words\a\abroad.md
000040,abrupt,adj.,ə\'brʌpt,ə\'brʌpt,"adj.突然的,陡峭的,生硬的",C:\GTT\EnglishDB\Words\a\abrupt.md
000041,abruptly,adv.,əˈbrʌptli,əˈbrʌptli,"adv.突然地,唐突地",C:\GTT\EnglishDB\Words\a\abruptly.md
000042,abscess,n.,\'æbsɪs; -ses,\'æb\'sɛs,"n.脓肿,砂眼",C:\GTT\EnglishDB\Words\a\abscess.md
000043,absence,n.,\'æbs(ə)ns,\'æbsns,"n.不在,缺席,缺乏,没有",C:\GTT\EnglishDB\Words\a\absence.md
000044,absent,adj.,ˈæbsənt;(for v.)əbˈsent,ˈæbsnt;(for v.)əbˈsɛnt,"adj.不在的,缺席的,缺少的;vt.缺席",C:\GTT\EnglishDB\Words\a\absent.md
000045,absentee,n.,",æbs(ə)n\'tiː",",æbsən\'ti","n.缺席者,未上班者",C:\GTT\EnglishDB\Words\a\absentee.md
000046,absently,adv.,\'æbs(ə)ntlɪ,\'æbsəntli,"adv.心不在焉地,茫然地",C:\GTT\EnglishDB\Words\a\absently.md
000047,absolute,adj.,\'æbsəluːt,\'æbsəlut,"adj.完全的,绝对的",C:\GTT\EnglishDB\Words\a\absolute.md
000048,absolutely,adv.,\'æbsəluːtlɪ,\'æbsəlutli,"adv.完全地,绝对地",C:\GTT\EnglishDB\Words\a\absolutely.md
000049,absolve,v.,əb\'zɒlv,əb\'zɑlv,v.宣布免除,C:\GTT\EnglishDB\Words\a\absolve.md
000050,absorb,vt.,əb\'zɔːb; -\'sɔːb,,"vt.吸收,吸引",C:\GTT\EnglishDB\Words\a\absorb.md
000051,absorbing,adj.,əb\'zɔːbɪŋ; -\'sɔːbɪŋ,əb\'sɔrbɪŋ,"adj.吸引人的,非常有趣的",C:\GTT\EnglishDB\Words\a\absorbing.md
000052,absorption,n.,əb\'zɔːpʃ(ə)n; -\'sɔːp-,"əbˈsɔrpʃən, -ˈzɔrp-",n.吸收,C:\GTT\EnglishDB\Words\a\absorption.md
000053,abstain,v.,əb\'steɪn,əb\'sten,"v.禁绝,放弃",C:\GTT\EnglishDB\Words\a\abstain.md
000054,abstinence,n.,\'æbstɪnəns,\'æbstɪnəns,"n.节制,节欲,戒酒",C:\GTT\EnglishDB\Words\a\abstinence.md
000055,abstract,n.,\'æbstrækt,\'æbstrækt,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",C:\GTT\EnglishDB\Words\a\abstract.md
000056,abstraction,n.,əb\'strækʃ(ə)n,æb\'strækʃən,n.提取,C:\GTT\EnglishDB\Words\a\abstraction.md
000057,absurd,adj.,əb\'sɜːd,əbˈsɝd,"adj.荒谬的,可笑的",C:\GTT\EnglishDB\Words\a\absurd.md
000058,absurdity,n.,əb\'sɜːdɪtɪ,əb\'sɝdəti,"n.荒谬,谬论",C:\GTT\EnglishDB\Words\a\absurdity.md
000059,absurdly,adv.,əb\'sɜːdlɪ,əb\'sɝdli,"adv.荒谬地, 悖理地, 愚蠢地",C:\GTT\EnglishDB\Words\a\absurdly.md
000060,abundance,n.,ə\'bʌnd(ə)ns,ə\'bʌndəns,"n.丰富,充裕,丰富充裕",C:\GTT\EnglishDB\Words\a\abundance.md
000061,abundant,adj.,əˈbʌndənt,ə\'bʌndənt,"adj.丰富的,充裕的,丰富,盛产,富于",C:\GTT\EnglishDB\Words\a\abundant.md
000062,abundantly,adv.,ə\'bʌnd(ə)ntlɪ,ə\'bʌndəntli,adv.丰富地,C:\GTT\EnglishDB\Words\a\abundantly.md
000063,abuse,n.,ə\'bjuːz,ə\'bjus,"n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂",C:\GTT\EnglishDB\Words\a\abuse.md
000064,abusive,adj.,ə\'bjuːsɪv,ə\'bjʊsɪv,"adj.辱骂的,滥用的",C:\GTT\EnglishDB\Words\a\abusive.md
000065,abut,v.,ə\'bʌt,ə\'bʌt,"v.邻接,毗邻",C:\GTT\EnglishDB\Words\a\abut.md
000066,abysmal,adj.,ə\'bɪzm(ə)l,ə\'bɪzməl,"adj.深不可测的,无底的",C:\GTT\EnglishDB\Words\a\abysmal.md
000067,abyss,n.,ə\'bɪs,ə\'bɪs,n.深渊,C:\GTT\EnglishDB\Words\a\abyss.md
000068,academia,n.,",ækə\'diːmɪə",",ækə\'dimɪə","n.学术界,学术环境",C:\GTT\EnglishDB\Words\a\academia.md
000069,academic,adj.,ækə\'demɪk,",ækə\'dɛmɪk","adj.学院的,理论的",C:\GTT\EnglishDB\Words\a\academic.md
000070,academically,adv.,",ækə\'demɪkəlɪ",",ækə\'dɛmɪkəli","adv.学术上,学理上",C:\GTT\EnglishDB\Words\a\academically.md
000071,academy,n.,ə\'kædəmɪ,ə\'kædəmi,"n.(高等)专科院校,研究院,学会,学术团体,学院",C:\GTT\EnglishDB\Words\a\academy.md
000072,accede,v.,ək\'siːd,ək\'sid,"v.同意,加入,同意",C:\GTT\EnglishDB\Words\a\accede.md
000073,accelerate,v.,ækˈseləreɪt,əkˈsɛləˌret,"v.加速,促进",C:\GTT\EnglishDB\Words\a\accelerate.md
000074,accelerated,adj.,əkˈseləreɪtɪd,əkˈseləreɪtɪd,adj.加速的,C:\GTT\EnglishDB\Words\a\accelerated.md
000075,acceleration,n.,əkselə\'reɪʃ(ə)n,ək\'sɛlə\'reʃən,n.加速度,C:\GTT\EnglishDB\Words\a\acceleration.md
000076,accelerator,n.,ək\'seləreɪtə,ək\'sɛlə\'retɚ,"n.加速者,加速器",C:\GTT\EnglishDB\Words\a\accelerator.md
000077,accent,n.,\'æks(ə)nt; -sent,\'æksɛnt,"n.重音,口音,重音符",C:\GTT\EnglishDB\Words\a\accent.md
000078,accentuate,v.,ək\'sentʃʊeɪt; -tjʊ-,ək\'sɛntʃuet,"v.重读,强调,着重强调",C:\GTT\EnglishDB\Words\a\accentuate.md
000079,accept,vt.,əkˈsept,əkˈsɛpt,"vt.接受,认可,承担,承兑vi.同意,承认",C:\GTT\EnglishDB\Words\a\accept.md
000080,acceptability,n.,əkˌsɛptəˈbɪlɪti,əkˌsɛptəˈbɪləti,n.可接受性,C:\GTT\EnglishDB\Words\a\acceptability.md
000081,acceptable,adj.,ək\'septəb(ə)l,ək\'sɛptəbl,"adj.可接受的,合意的",C:\GTT\EnglishDB\Words\a\acceptable.md
000082,acceptance,n.,ək\'sept(ə)ns,ək\'sɛptəns,"n.接受,承诺,容忍,赞同,相信",C:\GTT\EnglishDB\Words\a\acceptance.md
000083,accepted,adj.,ək\'septɪd,ək\'sɛptɪd,"adj.一般承认的,公认的",C:\GTT\EnglishDB\Words\a\accepted.md
000084,access,n.,\'ækses,\'æksɛs,"n.通路,访问,入门vt.存取,接近",C:\GTT\EnglishDB\Words\a\access.md
000085,accessibility,n.,"ək,sesə\'bɪlətɪ","æk,sɛsə\'bɪləti","n.易接近,可到达的",C:\GTT\EnglishDB\Words\a\accessibility.md
000086,accessible,adj.,ək\'sesɪb(ə)l,ək\'sɛsəbl,"adj.易接近的,可到达的,易受影响的,可理解的",C:\GTT\EnglishDB\Words\a\accessible.md
000087,accession,n.,ək\'seʃ(ə)n,æk\'sɛʃən,"n.就职,就任,添加,增加",C:\GTT\EnglishDB\Words\a\accession.md
000088,accessory,n.,ək\'ses(ə)rɪ,ək\'sɛsəri,"n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的",C:\GTT\EnglishDB\Words\a\accessory.md
000089,accident,n.,\'æksɪdənt,\'æksədənt,"n.意外事件,事故",C:\GTT\EnglishDB\Words\a\accident.md
000090,accidental,adj.,æksɪ\'dent(ə)l,",æksɪ\'dɛntl","adj.意外的,非主要的,附属的n.非本质属性,次要方面",C:\GTT\EnglishDB\Words\a\accidental.md
000091,accidentally,adv.,æksɪ\'dent(ə)lɪ,",æksə\'dɛntli","adv.偶然地,意外地",C:\GTT\EnglishDB\Words\a\accidentally.md
000092,acclaim,n.,ə\'kleɪm,ə\'klem,"n.喝彩,欢呼v.欢呼,称赞",C:\GTT\EnglishDB\Words\a\acclaim.md
000093,accolade,n.,"\'ækəleɪd; ,ækə\'leɪd",\'ækəled,"n.赞美,骑士爵位的授予,连谱号",C:\GTT\EnglishDB\Words\a\accolade.md
000094,accommodate,vt.,ə\'kɒmədeɪt,ə\'kɑmədet,"vt.供应,供给,使适应,调节,和解,向\...提供,容纳,调和;vi.适应",C:\GTT\EnglishDB\Words\a\accommodate.md
000095,accommodation,n.,əkɒmə\'deɪʃ(ə)n,"ə,kɑmə\'deʃən","n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",C:\GTT\EnglishDB\Words\a\accommodation.md
000096,accompaniment,n.,ə\'kʌmp(ə)nɪm(ə)nt,ə\'kʌmpənɪmənt,"n.陪伴物,伴奏",C:\GTT\EnglishDB\Words\a\accompaniment.md
000097,accompany,vt.,ə\'kʌmpənɪ,ə\'kʌmpəni,"vt.陪伴,伴奏",C:\GTT\EnglishDB\Words\a\accompany.md
000098,accompanying,adj.,əˈkʌmpəniɪŋ,əˈkʌmpəniɪŋ,"adj.陪伴的,附随的",C:\GTT\EnglishDB\Words\a\accompanying.md
000099,accomplice,n.,ə\'kʌmplɪs; ə\'kɒm-,ə\'kɑmplɪs,"n.同谋者,帮凶",C:\GTT\EnglishDB\Words\a\accomplice.md
000100,accomplish,vt.,ə\'kʌmplɪʃ; ə\'kɒm-,ə\'kɑmplɪʃ,"vt.完成,达到,实现",C:\GTT\EnglishDB\Words\a\accomplish.md
000101,accomplished,adj.,ə\'kʌmplɪʃt; ə\'kɒm-,ə\'kɑmplɪʃt,"adj.完成的,熟练的,多才多艺的",C:\GTT\EnglishDB\Words\a\accomplished.md
000102,accomplishment,,ə\'kʌmplɪʃm(ə)nt; ə\'kɒm-,ə\'kɑmplɪʃmənt,ns//n.造诣,C:\GTT\EnglishDB\Words\a\accomplishment.md
000103,accord,n.,ə\'kɔːd,ə\'kɔrd,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",C:\GTT\EnglishDB\Words\a\accord.md
000104,accordance,n.,ə\'kɔːd(ə)ns,ə\'kɔrdns,"n.一致,和谐",C:\GTT\EnglishDB\Words\a\accordance.md
000105,according,adv.,ə\'kɔːdɪŋ,ə\'kɔrdɪŋ,adv.依照,C:\GTT\EnglishDB\Words\a\according.md
000106,accordingly,adv.,ə\'kɔːdɪŋlɪ,ə\'kɔrdɪŋli,"adv.因此,从而",C:\GTT\EnglishDB\Words\a\accordingly.md
000107,accordion,n.,ə\'kɔːdɪən,ə\'kɔrdɪən,n.手风琴adj.可折叠的,C:\GTT\EnglishDB\Words\a\accordion.md
000108,accost,vt.,ə\'kɒst,ə\'kɔst,"vt.对\...说话,搭话",C:\GTT\EnglishDB\Words\a\accost.md
000109,account,n.,ə\'kaʊnt,ə\'kaʊnt,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为",C:\GTT\EnglishDB\Words\a\account.md
000110,accountability,n.,"ə,kaʊntə\'bɪlɪtɪ","ə,kaʊntə\'bɪləti","n.有责任,有义务,可说明性",C:\GTT\EnglishDB\Words\a\accountability.md
000111,accountable,adj.,ə\'kaʊntəb(ə)l,ə\'kaʊntəbl,"adj.应负责的,有责任的,可解释的",C:\GTT\EnglishDB\Words\a\accountable.md
000112,accountant,n.,ə\'kaʊnt(ə)nt,ə\'kaʊntənt,"n.会计(员),会计师",C:\GTT\EnglishDB\Words\a\accountant.md
000113,accounting,n.,ə\'kaʊntɪŋ,ə\'kaʊntɪŋ,"n.会计学,清算帐目",C:\GTT\EnglishDB\Words\a\accounting.md
000114,accredit,vt.,ə\'kredɪt,ə\'krɛdɪt,"vt.信任,授权,归于",C:\GTT\EnglishDB\Words\a\accredit.md
000115,accreditation,n.,"ə,kredɪ\'teɪʃən",ə\'krɛdə\'teʃən,"n.委派,信赖,鉴定合格",C:\GTT\EnglishDB\Words\a\accreditation.md
000116,accredited,adj.,əˈkredɪtɪd,əˈkredɪtɪd,"adj.可接受的,可信任的,公认的,质量合格的",C:\GTT\EnglishDB\Words\a\accredited.md
000117,accretion,n.,ə\'kriːʃ(ə)n,ə\'kriʃən,n.增长,C:\GTT\EnglishDB\Words\a\accretion.md
000118,accrue,vi.,ə\'kruː,ə\'kru,"vi.自然增加,产生",C:\GTT\EnglishDB\Words\a\accrue.md
000119,acculturation,n.,"ə,kʌltʃə\'reɪʃən","ə,kʌltʃə\'reʃən","n.文化传入,文化适应",C:\GTT\EnglishDB\Words\a\acculturation.md
000120,accumulate,v.,ə\'kjuːmjʊleɪt,ə\'kjumjəlet,"v.积聚,堆积",C:\GTT\EnglishDB\Words\a\accumulate.md
000121,accumulation,n.,əkjuːmjʊ\'leɪʃ(ə)n,"ə,kjʊmjə\'leʃən","n.积聚,堆积物",C:\GTT\EnglishDB\Words\a\accumulation.md
000122,accuracy,n.,\'ækjʊrəsɪ,\'ækjərəsi,"n.精确性,正确度",C:\GTT\EnglishDB\Words\a\accuracy.md
000123,accurate,adj.,ˈækjərət,\'ækjərət,"adj.正确的,精确的",C:\GTT\EnglishDB\Words\a\accurate.md
000124,accurately,adv.,ˈækjʊrɪtli,ˈækjərətli,"adv.正确地,精确地",C:\GTT\EnglishDB\Words\a\accurately.md
000125,accusation,n.,ækjʊ\'zeɪʃ(ə)n,",ækju\'zeʃən","n.谴责,[律]指控",C:\GTT\EnglishDB\Words\a\accusation.md
000126,accuse,vt.,ə\'kjuːz,ə\'kjuz,"vt.控告,谴责,非难",C:\GTT\EnglishDB\Words\a\accuse.md
000127,accused,n.,ə\'kjuːzd,ə\'kjuzd,n.被告,C:\GTT\EnglishDB\Words\a\accused.md
000128,accuser,n.,ə\'kjuːzə,ə\'kjʊzɚ,n.原告,C:\GTT\EnglishDB\Words\a\accuser.md
000129,accustom,vt.,ə\'kʌstəm,ə\'kʌstəm,vt.使习惯于,C:\GTT\EnglishDB\Words\a\accustom.md
000130,accustomed,adj.,ə\'kʌstəmd,ə\'kʌstəmd,"adj.通常的,习惯的,按照风俗习惯的",C:\GTT\EnglishDB\Words\a\accustomed.md
000131,ace,n.,eɪs,es,"n.(纸牌或骰子)幺点,王牌飞行员(击落敌机五架以上者adj.一流的;[军]Allied Command Europe,欧洲盟军司令部",C:\GTT\EnglishDB\Words\a\ace.md
000132,ache,n.,eɪk,ek,"n.疼痛vi.觉得疼痛,渴望",C:\GTT\EnglishDB\Words\a\ache.md
000133,achievable,adj.,əˈtʃiːvəbl,əˈtʃiːvəbl,"adj.做得成的,可完成的,可有成就的",C:\GTT\EnglishDB\Words\a\achievable.md
000134,achieve,vt.,ə\'tʃiːv,ə\'tʃiv,"vt.完成,达到",C:\GTT\EnglishDB\Words\a\achieve.md
000135,achievement,n.,ə\'tʃiːvm(ə)nt,ə\'tʃivmənt,"n.成就,功绩",C:\GTT\EnglishDB\Words\a\achievement.md
000136,aching,adj.,ˈeɪkɪŋ,ˈeɪkɪŋ,"adj.痛的,疼痛的,心痛的",C:\GTT\EnglishDB\Words\a\aching.md
000137,acid,n.,\'æsɪd,\'æsɪd,"n.酸,\<俚>迷幻药;adj.酸的,讽刺的,刻薄的;\""atomicity,consistency,isolation,and durability\"" 原子性,一致性,不相关性和持久性",C:\GTT\EnglishDB\Words\a\acid.md
000138,acidic,adj.,ə\'sɪdɪk,ə\'sɪdɪk,"adj.酸的,酸性的",C:\GTT\EnglishDB\Words\a\acidic.md
000139,acidity,n.,ə\'sɪdɪtɪ,ə\'sɪdəti,"n.酸度,酸性,[医]酸过多,胃酸过多",C:\GTT\EnglishDB\Words\a\acidity.md
000140,acknowledge,vt.,ək\'nɒlɪdʒ,ək\'nɑlɪdʒ,"vt.承认,答谢,报偿",C:\GTT\EnglishDB\Words\a\acknowledge.md
000141,acknowledged,adj.,ək\'nɒlɪdʒd,ək\'nɑlɪdʒd,adj.公认的,C:\GTT\EnglishDB\Words\a\acknowledged.md
000142,acknowledgement,n.,ək\'nɒlɪdʒm(ə)nt,ək\'nɑlɪdʒmənt,"n.承认,确认,竧 of receipt//回执行",C:\GTT\EnglishDB\Words\a\acknowledgement.md
000143,acknowledgment,n.,ək\'nɒlɪdʒmənt,ək\'nɑlɪdʒmənt,"n.承认,承认书,感谢",C:\GTT\EnglishDB\Words\a\acknowledgment.md
000144,acne,n.,\'æknɪ,\'ækni,"n.痤疮,粉刺",C:\GTT\EnglishDB\Words\a\acne.md
000145,acorn,n.,\'eɪkɔːn,\'ekɔrn,"n.[植]橡树果,橡子",C:\GTT\EnglishDB\Words\a\acorn.md
000146,acoustic,adj.,ə\'kuːstɪk,ə\'kʊstɪk,"adj.有关声音的,声学的,音响学的",C:\GTT\EnglishDB\Words\a\acoustic.md
000147,acquaint,vt.,ə\'kweɪnt,ə\'kwent,"vt.使熟知,通知",C:\GTT\EnglishDB\Words\a\acquaint.md
000148,acquaintance,n.,ə\'kweɪnt(ə)ns,ə\'kwentəns,"n.相识,熟人",C:\GTT\EnglishDB\Words\a\acquaintance.md
000149,acquiesce,vi.,ˌækwiˈes,ˌækwiˈes,"vi.默许,勉强同意",C:\GTT\EnglishDB\Words\a\acquiesce.md
000150,acquiescence,n.,",ækwɪ\'esns",\'ækwɪ\'ɛsns,n.默许,C:\GTT\EnglishDB\Words\a\acquiescence.md
000151,acquire,vt.,ə\'kwaɪə,ə\'kwaɪr,"vt.获得,学到",C:\GTT\EnglishDB\Words\a\acquire.md
000152,acquired,adj.,ə\'kwaɪəd,ə\'kwaɪrd,"adj.已获得的,已成习惯的,后天通过自己的努力得到的",C:\GTT\EnglishDB\Words\a\acquired.md
000153,acquisition,n.,",ækwɪ\'zɪʃ(ə)n",",ækwɪ\'zɪʃən","n.获得,获得物",C:\GTT\EnglishDB\Words\a\acquisition.md
000154,acquit,vt.,ə\'kwɪt,ə\'kwɪt,"vt.宣告无罪,脱卸义务和责任,还清(债务)",C:\GTT\EnglishDB\Words\a\acquit.md
000155,acquittal,n.,ə\'kwɪtəl,ə\'kwɪtl,n.宣判无罪,C:\GTT\EnglishDB\Words\a\acquittal.md
000156,acreage,n.,\'eɪk(ə)rɪdʒ,\'ekərɪdʒ,"n.英亩数,面积",C:\GTT\EnglishDB\Words\a\acreage.md
000157,acrid,adj.,\'ækrɪd,\'ækrɪd,"adj.辛辣的,(言语或语调)刻薄的",C:\GTT\EnglishDB\Words\a\acrid.md
000158,acrobat,n.,\'ækrəbæt,\'ækrəbæt,"n.(走钢丝的)杂技演员,随机应变者,翻云覆雨者",C:\GTT\EnglishDB\Words\a\acrobat.md
000159,acronym,n.,\'ækrənɪm,\'ækrənɪm,n.只取首字母的缩写词,C:\GTT\EnglishDB\Words\a\acronym.md
000160,across,adv.,ə\'krɒs,ə\'krɔs,"adv.横过,交叉地,在对面 prep.越过,交叉,在\...的那边,在\...对面那边",C:\GTT\EnglishDB\Words\a\across.md
000161,acrylic,adj.,ə\'krɪlɪk,ə\'krɪlɪk,adj.[化]丙烯酸的,C:\GTT\EnglishDB\Words\a\acrylic.md
000162,act,n.,ækt,ækt,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生\...的效果,担当,表演,假装,表现,见效vt.扮演,装作",C:\GTT\EnglishDB\Words\a\act.md
000163,acting,adj.,\'æktɪŋ,\'æktɪŋ,"adj.代理的,起作用的,演戏的",C:\GTT\EnglishDB\Words\a\acting.md
000164,action,n.,\'ækʃ(ə)n,\'ækʃən,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对\...起诉",C:\GTT\EnglishDB\Words\a\action.md
000165,activation,n.,",æktɪ\'veɪʃən",",æktə\'veʃən","n.活化,激活,[化]活化作用",C:\GTT\EnglishDB\Words\a\activation.md
000166,active,adj.,\'æktɪv,\'æktɪv,"adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的;n.[语法] 主动语态,积极分子",C:\GTT\EnglishDB\Words\a\active.md
000167,actively,adv.,\'æktɪvli,\'æktɪvli,"adv.活跃地,积极地",C:\GTT\EnglishDB\Words\a\actively.md
000168,activism,n.,\'æktɪvɪz(ə)m,\'æktəvɪzəm,"n.行动(第一)主义,激进主义,[哲]触动论",C:\GTT\EnglishDB\Words\a\activism.md
000169,activist,n.,\'æktɪvɪst,\'æktɪvɪst,"n.激进主义分子,行动主义分子",C:\GTT\EnglishDB\Words\a\activist.md
000170,activity,n.,ækˈtɪvɪtɪ,ækˈtɪvətɪ,"n.活跃,活动性,行动,行为,[核]放射性",C:\GTT\EnglishDB\Words\a\activity.md
000171,actor,n.,\'æktə,\'æktɚ,"n.男演员,行动者,参与者",C:\GTT\EnglishDB\Words\a\actor.md
000172,actress,n.,ˈæktrəs,ˈæktrəs,n.女演员,C:\GTT\EnglishDB\Words\a\actress.md
000173,actual,adj.,\'æktʃʊəl; -tjʊəl,\'æktʃuəl,"adj.实际的,真实的,现行的,目前的",C:\GTT\EnglishDB\Words\a\actual.md
000174,actuality,n.,æktjʊ\'ælɪtɪ; -tʃʊ-,",æktʃu\'æləti","n.实在,现状",C:\GTT\EnglishDB\Words\a\actuality.md
000175,actually,adv.,ˈæktʃuəli,\'æktʃuəli,"adv.实际上,事实上,竟然,居然,如今",C:\GTT\EnglishDB\Words\a\actually.md
000176,actuator,n.,\'æktjʊeɪtə,"\'æktʃʊ,etɚ",n.激励者,C:\GTT\EnglishDB\Words\a\actuator.md
