id,word,story
000015,abet,"> A thief was planning a robbery. His friend didn\'t stop him but actually abet him. Later, both were caught. Remember, abet means to encourage or assist someone, especially in doing something wrong. **一个小偷正在计划抢劫。他的朋友不但不阻止他，反而教唆他。后来，两人都被抓住了。记住，abet 意思是教唆、怂恿，尤指做坏事。**"
000016,abhor,> A brave hero was in a dark forest. He saw a monster doing evil things and he abhorred it. The monster\'s actions were so bad that the hero decided to fight it to stop the evil. **一位勇敢的英雄在黑暗的森林里。他看到一只怪物在做邪恶的事，他憎恶它。怪物的行为太恶劣了，英雄决定与之战斗来阻止邪恶。**
000017,abide,"> A brave knight had to abide by the king\'s rules. Even when the tasks were tough, he never broke them. \'Abide\' means to accept and follow a rule or decision. Just like the knight did. **一位勇敢的骑士必须遵守国王的规定。即使任务艰巨，他也从不违反。\'abide\'意思是接受并遵循规则或决定。就像这位骑士所做的那样。**"
000018,abiding,"> A boy had an abiding love for his pet dog. Even when the dog was old and not as lively, the boy\'s love remained strong and lasting. This shows the meaning of \'abiding\' - lasting for a long time. **一个男孩对他的宠物狗有着持久的爱。即使狗变老了，不那么活泼了，男孩的爱依然强烈且持久。这体现了\'abiding\'------持久的、长久的意思。**"
000019,ability,"> Once upon a time, there was a little mouse. It had the ability to find the tastiest cheese in the maze. No matter how complex the maze was, it could always succeed. This shows its great ability. **从前，有一只小老鼠。它有能力在迷宫里找到最美味的奶酪。不管迷宫多么复杂，它总是能成功。这显示了它强大的能力。**"
000020,abject,"> A poor man was in an abject state. He had no job, no money, and even lost his home. His life was full of misery and hopelessness. But finally, he worked hard and changed his situation. **一个可怜的人处于悲惨的境地。他没有工作，没有钱，甚至失去了家。他的生活充满了痛苦和绝望。但最终，他努力工作改变了自己的状况。**"
000021,ablaze,"> A forest was ablaze. The fire spread quickly, making the trees and the ground all on fire. The sight was terrifying. People came to put out the fire and finally made the forest safe again. Remember, ablaze means burning fiercely. **一片森林着火了。火势迅速蔓延，使得树木和地面都熊熊燃烧。这景象十分可怕。人们赶来灭火，最终让森林再次安全。记住，ablaze 意思是猛烈燃烧。**"
000022,able,"> A young boy named Tom was always able to solve difficult math problems. His classmates were amazed. One day, the teacher asked a very tough question, but Tom was able to answer it quickly. Everyone knew he was very smart. **一个叫汤姆的小男孩总是能够解决困难的数学问题。他的同学们都很惊讶。有一天，老师问了一个非常难的问题，但汤姆能够很快回答出来。大家都知道他很聪明。**"
000023,abnormal,"> A brave scientist was exploring a mysterious cave. Inside, he found abnormal creatures with strange shapes and colors. These creatures were not like anything he had seen before. \'Abnormal\' means not normal or unusual. **一位勇敢的科学家正在探索一个神秘的洞穴。在里面，他发现了形状和颜色都很奇特的非正常生物。这些生物与他以前见过的任何东西都不一样。\'abnormal\'意思是不正常的、异常的。**"
000024,abnormality,> A scientist was studying a strange creature. Its features and behaviors showed clear abnormality. It had an extra eye and moved in a very odd way. This oddity made the scientist realize the meaning of \'abnormality\'. **一位科学家正在研究一种奇怪的生物。它的特征和行为都显示出明显的异常。它多了一只眼睛，移动方式也非常奇怪。这种怪异让科学家明白了\'abnormality\'这个词的意思。**
000025,aboard,> 想象你正在一艘大船上，准备开始一段冒险之旅。你兴奋地踏上甲板，嘴里喊着\'Aboard! Aboard!\' 意思就是登上船啦。 **想象在船上，喊'aboard'表示登上船**
000026,abolish,"> A king decided to abolish the cruel law that punished people unjustly. The people were so happy and grateful. They finally got rid of this bad law. Remember, abolish means to get rid of or do away with something. **一位国王决定废除那条不公正地惩罚人民的残酷法律。人民非常高兴和感激。他们终于摆脱了这条糟糕的法律。记住，abolish 意思是废除，取消某物。**"
000027,abolition,"> In a kingdom long ago, the cruel law of forced labor was causing great suffering. But a brave leader emerged and fought hard for its abolition. Finally, people were set free and lived happily ever after. **在很久以前的一个王国里，强制劳动的残酷法律正造成巨大痛苦。但一位勇敢的领袖出现了，并为废除它而努力斗争。最后，人们获得了自由，从此过上了幸福的生活。**"
000028,abolitionist,"> Abolitionist Tom was passionate about justice. He fought hard against slavery, never giving up. His speeches and actions inspired many. Finally, his efforts led to important changes. Remember Tom to remember abolitionist! **废奴主义者汤姆热衷于正义。他奋力反对奴隶制，从不放弃。他的演讲和行动激励了许多人。最终，他的努力带来了重要的改变。记住汤姆就能记住abolitionist（废奴主义者）！**"
000029,abomination,"> A witch cast a spell, creating a terrifying monster that brought chaos and destruction. Everyone saw this monster as an abomination. It was so ugly and evil that people were filled with fear and disgust. **一位女巫施了一个咒语，创造出一个可怕的怪物，带来了混乱和破坏。每个人都把这个怪物视为令人憎恶的东西。它又丑又邪恶，让人们充满了恐惧和厌恶。**"
000030,aboriginal,> 想象一下，在远古时代，有一群原始的居民生活在一片神秘的土地上。他们是最早的开拓者，被称为 aboriginal 。他们与大自然和谐共处，传承着独特的文化。这些居民就是当地土生土长的原住民。 **想象在远古时代，有一群被称为'aboriginal（土著的；原始的；原住民）'的原始居民，他们是当地土生土长的，与自然和谐共处并传承独特文化。**
000031,abort,> 想象一个宇航员正在执行太空任务，突然飞船出现严重故障。为了保命，他不得不'abort'（中止）这次任务，紧急返回地球。 **想象一位宇航员因飞船故障而不得不中止太空任务并紧急返回地球**
000032,abortion,"> A pregnant woman was in a difficult situation. She had to make a painful decision. The choice she made was called \'abortion\', which means ending the pregnancy before the baby is born. **一位孕妇身处困境。她不得不做出一个痛苦的决定。她所做的这个选择被称为'abortion'，意思是在婴儿出生前终止妊娠。**"
000033,abound,"> In a magical forest, animals abound. There are countless rabbits, squirrels, and birds. The forest is so full of life that it seems to have an endless supply of them. Remember, \'abound\' means to exist in large numbers or be plentiful. **在一个神奇的森林里，动物大量存在。有无数的兔子、松鼠和鸟。这个森林充满了生机，似乎有着无尽的动物。记住，\'abound\'意思是大量存在、丰富。**"
000034,about,"> A little mouse was running about in the big house. It was looking for food and exploring everywhere. \'About\' here means moving in different directions and places. **一只小老鼠在大房子里到处跑。它在寻找食物并且到处探索。这里的""about""意思是在不同的方向和地方移动。**"
000035,above,> A bird was flying above the beautiful garden. It could see all the colorful flowers and green grass. \'Above\' means at a higher position. So the bird was at a higher position than the garden. **一只鸟在美丽的花园上方飞翔。它能看到所有五颜六色的花和绿草。'above'意思是在更高的位置。所以这只鸟在比花园更高的位置。**
000036,abrasion,"> One day, Tom was playing in the forest. He accidentally fell and his skin suffered an abrasion. It hurt a lot, but he learned that abrasion means the wearing away of the surface. **一天，汤姆在森林里玩耍。他不小心摔倒了，皮肤受到了擦伤。很疼，但他知道了abrasion指的是表面的磨损。**"
000037,abrasive,"> A brave knight was fighting a monster. The monster\'s skin was abrasive, like sandpaper, making it hard for the knight to get close. But the knight was determined and finally defeated the monster. **一位勇敢的骑士正在与一只怪物战斗。怪物的皮肤很粗糙，像砂纸一样，这让骑士很难靠近。但骑士下定决心，最终打败了怪物。**"
000038,abreast,"> Two friends were walking along the street, side by side, staying abreast of each other. They shared stories and enjoyed the journey together. This image shows the meaning of \'abreast\' - being next to each other and at the same level. **两个朋友沿着街道走，肩并肩，彼此并排。他们分享故事，一起享受旅程。这个画面展示了""abreast""的意思 - 并排，并列。**"
000039,abroad,"> A brave man was bored at home. So he decided to go \'a broad\' the world, exploring new places and having amazing adventures. This made him understand different cultures. **一个勇敢的人在家感到无聊。于是他决定去'广阔的'世界，探索新的地方并拥有奇妙的冒险经历。这使他了解了不同的文化。**"
000040,abrupt,> 有一天，小明正在安静地散步，突然（abrupt）一只大狗冲出来，吓得他心跳加速。这种毫无预兆的情况就像'abrupt'所表达的那样，突然的、意外的。 **有一天，小明正在安静地散步，突然一只大狗冲出来，吓得他心跳加速。这种毫无预兆的情况就像'突然的、意外的'所表达的那样。**
000041,abruptly,"> One day, while I was walking in the forest, a rabbit abruptly appeared in front of me and then disappeared quickly. It was so sudden and unexpected. **有一天，当我在森林里散步时，一只兔子突然出现在我面前，然后又很快消失了。这是如此的突然和出乎意料。**"
000042,abscess,"> A brave adventurer was exploring a dark cave. Suddenly, he felt a sharp pain on his leg and found an ABSCESS. It was a swollen and infected area. He had to seek help quickly to get it treated. **一位勇敢的探险家正在探索一个黑暗的洞穴。突然，他感到腿上一阵剧痛，发现了一个脓肿。这是一个肿胀和感染的区域。他不得不赶紧寻求帮助来治疗它。**"
000043,absence,"> A student named Tom was always present in class. But one day, he had an absence. The teacher was worried and called his home. Later they knew Tom was sick. So, absence means not being present. **有个叫汤姆的学生总是按时上课。但有一天，他没来（absence）。老师很担心并给他家打电话。后来才知道汤姆生病了。所以，absence 意思是缺席、不在场。**"
000044,absent,"> A boy was always absent from school. His teacher was very angry. But when he finally came, he explained that he was helping an old man. So \'absent\' means not being present. **一个男孩总是缺课。他的老师非常生气。但当他最终来的时候，他解释说他在帮助一位老人。所以'absent'意思是缺席，不在场。**"
000045,absentee,> A boss was very angry because one of his employees was an absentee. This employee was often not at work. The boss decided to talk to him seriously. **一位老板非常生气，因为他的一名员工总是缺勤。这名员工经常不在岗。老板决定严肃地和他谈谈。**
000046,absently,"> One day, Tom was sitting in the classroom, looking absently out of the window. His mind was far away, thinking about the exciting adventure he had during the weekend. He was so lost in his thoughts that he didn\'t hear the teacher calling his name. **一天，汤姆坐在教室里，心不在焉地望着窗外。他的思绪飘远，想着周末的那次激动人心的冒险。他如此沉浸在自己的想法中，以至于没听到老师叫他的名字。**"
000047,absolute,"> A king had absolute power. No one could question his decisions. He could do whatever he wanted. But with such power came great responsibility. Remember, \'absolute\' means complete and unlimited. **一位国王拥有绝对的权力。没有人可以质疑他的决定。他可以为所欲为。但这种权力也伴随着巨大的责任。记住，'absolute'意思是完全的、无限制的。**"
000048,absolutely,"> A brave knight was on a quest. When asked if he would complete it, he shouted \'Absolutely!\' meaning without any doubt or reservation. It showed his total determination and commitment. **一位勇敢的骑士正在执行一项任务。当被问到他是否会完成时，他大喊'绝对！'，意思是毫无疑问或毫无保留。这显示了他完全的决心和承诺。**"
000049,absolve,"> A king was very angry with a knight. But after hearing the knight\'s sincere apology and explanation, the king absolved him of his mistakes. The knight was very grateful and promised to be better. **一位国王对一名骑士非常生气。但在听到骑士真诚的道歉和解释后，国王赦免了他的过错。骑士非常感激，并承诺会做得更好。**"
000050,absorb,"> A thirsty sponge was placed in a pool of water. It took in all the water quickly, just like how we \'absorb\' knowledge. The sponge\'s action shows the meaning of \'absorb\' - to take in or soak up. **一块口渴的海绵被放在一池水里。它很快吸收了所有的水，就像我们吸收知识一样。海绵的这个行为展示了'absorb'的意思------吸收、摄取。**"
000051,absorbing,> A scientist was conducting an absorbing experiment. He was so focused on it that he forgot everything around him. The experiment absorbed all his attention and energy. It was truly captivating. **一位科学家正在进行一项引人入胜的实验。他如此专注于它，以至于忘记了周围的一切。这个实验吸引了他所有的注意力和精力。真的令人着迷。**
000052,absorption,> A scientist was studying how a sponge absorbs water. He saw the water disappearing into the sponge quickly. The process of the water being taken in is like \'absorption\'. **一位科学家正在研究海绵如何吸水。他看到水很快被吸入海绵中。水被吸入的这个过程就像\'absorption（吸收）\'。**
000053,abstain,"> A king had a bad habit. His wise advisor told him to \'abstain\' from it. The king struggled but finally controlled himself. By abstaining, he became a better ruler. Remember, \'abstain\' means to hold back or refrain. **一位国王有个坏习惯。他睿智的顾问告诉他要""戒除""。国王努力挣扎但最终控制住了自己。通过戒除，他成为了更好的统治者。记住，\'abstain\'意思是抑制、戒除。**"
000054,abstinence,> A person named Tom struggled with bad habits. But he decided to change and practiced abstinence. He resisted temptation and finally achieved a better life. Abstinence means self-restraint or the act of refraining from something. **有个人叫汤姆，一直被坏习惯困扰。但他决定改变，开始践行节制。他抵制住了诱惑，最终获得了更好的生活。abstinence 意思是节制；禁欲；戒除**
000055,abstract,> 想象一个画家，他先在脑海中构思一幅抽象（abstract）的画面，没有具体的形状和色彩。然后他努力把这个模糊的想法画在纸上，这个过程就像从抽象到具体的转变。 **想象一位画家构思抽象画面并努力描绘的过程，帮助理解\'abstract\'（抽象的）这个词。**
000056,abstraction,"> A brilliant artist was always lost in thought, imagining abstract worlds. One day, he created a painting full of abstraction, using shapes and colors no one had ever seen before. People were amazed by this unique abstraction. **一位杰出的艺术家总是陷入沉思，想象着抽象的世界。有一天，他创作了一幅充满抽象元素的画，运用了前所未见的形状和色彩。人们对这幅独特的抽象作品感到惊叹。**"
000057,absurd,"> A man tried to fly by attaching balloons to himself. Everyone thought it was absurd. But he insisted, and of course, he failed. This shows how crazy and unreasonable something can be when it\'s absurd. **一个男人试图通过给自己绑上气球来飞行。大家都觉得这太荒谬了。但他坚持，当然，他失败了。这表明当某事荒谬时是多么疯狂和不合理。**"
000058,absurdity,> A man wore a swimming suit to a formal dinner party. Everyone was shocked by this absurdity. His strange choice made no sense and was completely illogical. **一个男人穿着泳装去参加正式晚宴。每个人都对这种荒谬感到震惊。他奇怪的选择毫无意义，完全不合逻辑。**
000059,absurdly,> A man absurdly wore a swimsuit to a formal dinner party. Everyone was shocked and thought his behavior was so strange and unreasonable. This shows the meaning of \'absurdly\' - in a very silly and unreasonable way. **一个男人荒唐地穿着泳衣去参加正式晚宴。每个人都很震惊，认为他的行为太奇怪和不合理了。这体现了'absurdly'------以非常愚蠢和不合理的方式的意思。**
000060,abundance,"> Imagine a magical garden filled with all kinds of fruits and flowers. There are so many that you can\'t count them. This garden represents \'abundance\', meaning a large quantity or plenty of something. **想象一个神奇的花园，里面满是各种各样的水果和花朵。多到数不清。这个花园就代表着""大量；丰富；充裕""的意思。**"
000061,abundant,> A farmer had an abundant harvest this year. His fields were filled with countless grains and fruits. The sight of such a rich yield made him very happy. It showed that there was more than enough. **一位农民今年获得了大丰收。他的田地里满是数不清的谷物和水果。看到如此丰富的收成，他非常高兴。这表明数量绰绰有余。**
000062,abundantly,"> A poor farmer was always sad about his meager harvest. One day, an angel appeared and blessed his land. From then on, his crops grew abundantly. He was overjoyed and shared the abundance with others. **一个贫穷的农民总是为他微薄的收成而悲伤。有一天，一位天使出现并祝福了他的土地。从那时起，他的庄稼大量地生长。他非常高兴，并与其他人分享了这份丰盛。**"
000063,abuse,"> A boy was often abused by his stepfather. The stepfather shouted at him and even hit him. But finally, the boy found help and the abuse stopped. **一个男孩经常被他的继父虐待。继父对他大喊大叫，甚至还打他。但最终，男孩得到了帮助，虐待停止了。**"
000064,abusive,"> A king was always abusive to his subjects. He shouted and scolded them for no good reason. One day, people decided not to tolerate it anymore. They stood up against his abusive behavior. **一位国王总是辱骂他的臣民。他毫无理由地大喊大叫并斥责他们。有一天，人们决定不再容忍，他们站起来反抗他的辱骂行为。**"
000065,abut,"> A brave bug was walking along the edge. Suddenly, it found that the path abut a beautiful garden. It was so excited and decided to explore it. **一只勇敢的小虫子沿着边缘走着。突然，它发现这条路毗邻一个美丽的花园。它非常兴奋，决定去探索一番。**"
000066,abysmal,"> A brave adventurer was lost in an abysmal cave. The depth and darkness were terrifying. It was like a bottomless pit. He struggled but couldn\'t find the way out. \'Abysmal\' here means extremely bad or very deep and hopeless. **一位勇敢的探险家在一个深不见底的洞穴中迷路了。其深度和黑暗令人恐惧，就像一个无底洞。他努力挣扎但找不到出路。""abysmal""在这里意味着极其糟糕或非常深且无望。**"
000067,abyss,"> A brave adventurer was exploring a cave. Suddenly, he fell into a deep and dark hole. This terrifying place was like an abyss, with no bottom in sight. He struggled to find a way out. **一位勇敢的探险家正在探索一个洞穴。突然，他掉进了一个又深又黑的洞。这个可怕的地方就像一个深渊，看不到底。他努力寻找出路。**"
000068,academia,"> In a magical land, there was a secret place called Academia. It was a forest where wise owls taught young animals all kinds of knowledge. Everyone who entered this place became very smart and learned a lot. **在一个神奇的国度，有一个叫""学术界""的神秘地方。它是一片森林，智慧的猫头鹰在那里给小动物们传授各种知识。每个进入这个地方的人都变得非常聪明，学到很多东西。**"
000069,academic,"> A student named Amy was always passionate about learning. She spent hours in the library, reading and researching. Her dedication made her truly academic. She aimed for high grades and was always seeking knowledge. Eventually, she became a top scholar. **一个叫艾米的学生总是热衷于学习。她在图书馆花好几个小时，阅读和研究。她的专注使她非常学术。她追求高分并且总是寻求知识。最终，她成为了一名顶尖学者。**"
000070,academically,"> A student named Lily was always academically outstanding. She spent hours in the library, studied hard for every exam, and won many awards. Her success showed that she was excellent academically. **一个叫莉莉的学生在学业上一直很出色。她在图书馆花很多时间，每场考试都努力学习，还赢得了很多奖项。她的成功表明她在学业方面很优秀。**"
000071,academy,"> A young boy dreamed of entering a mysterious place called \'Academy\'. There, wise teachers taught amazing knowledge. He worked hard and finally got in. The \'Academy\' was a place full of learning and growth. **一个小男孩梦想着进入一个叫做""学院""的神秘地方。在那里，睿智的老师传授着奇妙的知识。他努力学习，最终得以进入。""学院""是一个充满学习和成长的地方。**"
000072,accede,> 国王一直拒绝批准新的法律，民众很不满。直到有一天，国王意识到了问题的严重性，最终 accede 了，同意并批准了新法律。这让国家又恢复了和谐。 **国王一直拒绝批准新的法律，民众很不满。直到有一天，国王意识到了问题的严重性，最终同意并批准了新法律。这让国家又恢复了和谐。**
000073,accelerate,"> A race car driver was losing the competition. But when he found a special button labeled \'accelerate\', he pushed it and the car went faster and faster. Finally, he won the race. **一位赛车手在比赛中处于落后。但当他发现一个标有'accelerate（加速）'的特殊按钮时，他按下了它，车子越来越快。最终，他赢得了比赛。**"
000074,accelerated,"> A little car was always slow. One day, it found a magic button and pressed it. Suddenly, it accelerated and became very fast, leaving all the other cars behind. It felt so excited! **一辆小汽车总是很慢。有一天，它发现了一个神奇的按钮并按下了它。突然，它加速了，变得非常快，把其他所有车都甩在了后面。它感到非常兴奋！**"
000075,acceleration,"> A car was racing on the track. The driver stepped hard on the gas pedal, and the speed kept increasing. This rapid increase in the car\'s speed is called acceleration. It shows how fast the car is getting faster. **一辆汽车在赛道上飞驰。司机猛踩油门，速度不断提升。这种汽车速度的快速增加就叫做加速度。它表明了汽车变快的速度有多快。**"
000076,accelerator,> 想象一下，你正在驾驶一辆赛车，脚下的踏板就是 accelerator （油门）。当你用力踩下它，赛车速度瞬间飙升，带你冲向终点。它就像一个神奇的加速装置，让一切变得飞快！ **想象一下你在开赛车，脚下的油门就是'accelerator'。用力踩下，赛车速度飙升，它就像加速装置，让一切变快！**
000077,accent,> 有一天，小明去了一个陌生的国度。那里的人们说话都带有一种独特的'accent'，就像唱歌一样动听。小明努力模仿，想要融入其中，最终也学会了这种特别的腔调。 **有一天，小明去了一个陌生的国度。那里的人们说话都带有一种独特的'口音'，就像唱歌一样动听。小明努力模仿，想要融入其中，最终也学会了这种特别的腔调。**
000078,accentuate,"> A prince wanted to accentuate his charm to win the princess\'s heart. So, he practiced his speech and wore special clothes. Finally, his efforts accentuated his attractiveness and he succeeded. **一位王子想要突出自己的魅力以赢得公主的心。于是，他练习演讲，穿上特别的衣服。最终，他的努力突出了他的吸引力，他成功了。**"
000079,accept,"> A poor boy was always rejected by others. One day, a kind lady gave him a gift and he happily accepted it. This made him understand that to accept means to receive something willingly. **一个贫穷的男孩总是被其他人拒绝。有一天，一位善良的女士给他一份礼物，他高兴地接受了。这让他明白 accept 就是乐意地接收某物。**"
000080,acceptability,"> A king was considering the acceptability of a new law. He asked his ministers for opinions. Some said yes, some said no. Finally, he made a wise decision based on various views. **一位国王正在考虑一项新法律的可接受性。他询问大臣们的意见。一些人说是，一些人说否。最后，他根据各种观点做出了明智的决定。**"
000081,acceptable,> A hungry mouse was looking for food. It finally found some cheese that was acceptable. It happily ate it and felt satisfied. The cheese was not perfect but good enough to satisfy the mouse\'s hunger. **一只饥饿的老鼠正在寻找食物。它最终找到了一些可以接受的奶酪。它高兴地吃了，感到很满足。这些奶酪不完美，但足以满足老鼠的饥饿。**
000082,acceptance,"> A poor student was always worried about not being accepted by a good university. But with hard work, he got excellent grades and finally received the acceptance letter. It was a moment of joy and relief! **一个贫困的学生总是担心不被好大学录取。但通过努力学习，他取得了优异的成绩，最终收到了录取通知书。这是一个充满喜悦和宽慰的时刻！**"
000083,accepted,"> A young artist submitted his painting to a competition. After days of waiting, he received the news that his work was accepted. It made him so happy and gave him confidence to keep creating. **一位年轻的艺术家向一场比赛提交了他的画作。经过数日的等待，他收到了他的作品被接受的消息。这让他非常高兴，并给予他继续创作的信心。**"
000084,access,> 想象你被困在一个神秘的城堡里，到处寻找出路。终于，你发现了一扇隐藏的门，门上有个密码锁。当你输入正确的密码，门打开了，这就是你获得了'access'（进入；通道；机会）。 **想象你被困在城堡里寻找出路，输入密码打开隐藏的门就是获得了进入的机会，以此来辅助记忆'access'这个单词**
000085,accessibility,> 想象一个图书馆，它的大门总是敞开，通道宽敞，书架的高度适中，无论是老人还是小孩都能轻松到达每一本书。这就是\'accessibility\'，意味着容易接近、容易进入、容易使用的特性。 **想象一个展现容易接近、容易进入、容易使用特性的图书馆的场景来辅助记忆\'accessibility\'这个单词**
000086,accessible,> 想象一个神秘的城堡，里面藏着珍贵的宝藏。但只有一条道路能通往城堡内部，这条路清晰可见且容易行走，大家都能通过它到达宝藏所在地。这条路就像accessible，意味着容易接近、可进入的。 **想象一个城堡道路的故事来辅助记忆'accessible'这个表示容易接近、可进入的单词**
000087,accession,> 国王举行盛大仪式，欢迎新成员加入王室。这个新成员的加入被称为 accession。就像你获得进入一个神秘城堡的许可，那就是 accession。 **国王或新成员加入组织、团体等；就职；增加**
000088,accessory,"> A thief was caught stealing accessories from a jewelry store. The police found earrings, necklaces, and bracelets, all considered as accessories. Now you know, these extra items are called accessory. **一个小偷被抓到从珠宝店偷饰品。警察发现了耳环、项链和手镯，这些都被认为是饰品。现在你知道了，这些额外的物品就叫 accessory（饰品；附件；配件）。**"
000089,accident,"> One day, Tom was walking on the street. Suddenly, a car lost control and hit a tree. This unexpected event was an accident. Poor Tom was shocked but luckily not hurt. **有一天，汤姆正在街上走。突然，一辆车失控撞到了一棵树。这个意想不到的事件就是一场事故。可怜的汤姆被吓到了，但幸运的是没有受伤。**"
000090,accidental,"> One day, while walking in the park, I saw a man trip and fall. It was an accidental event. No one expected it. Later, I realized that \'accidental\' means happening by chance or unexpectedly. **有一天，我在公园散步时，看到一个男人绊倒了。这是个意外事件。没人预料到。后来，我明白了'accidental'意思是偶然发生的或出乎意料的。**"
000091,accidentally,"> One day, Tom was walking in the park. Accidentally, he stepped on a banana peel and fell. But luckily, he wasn\'t hurt. This unexpected event made him remember the word \'accidentally\' which means by chance or unexpectedly. **有一天，汤姆在公园散步。意外地，他踩到了一块香蕉皮摔倒了。但幸运的是，他没有受伤。这个意外事件让他记住了""accidentally""这个词，意思是偶然地；意外地。**"
000092,acclaim,"> A famous singer gave an amazing performance. The audience shouted and cheered loudly, giving her great acclaim. They praised her talent and hard work, making her feel truly loved and appreciated. **一位著名歌手进行了一场精彩的演出。观众们大声呼喊和欢呼，给予了她高度的称赞。他们赞扬她的才华和努力，让她感到真心被喜爱和欣赏。**"
000093,accolade,> 一位年轻的音乐家努力练习，终于在音乐会上完美演出。结束后，观众们热烈鼓掌，给予他无数的赞美和荣誉，这就是对他的accolade。 **一位年轻的音乐家努力练习，终于在音乐会上完美演出。结束后，观众们热烈鼓掌，给予他无数的赞美和荣誉，这就是对他的赞誉、表扬。**
000094,accommodate,"> A traveler was lost and tired. A kind innkeeper accommodated him, providing a comfortable room and warm food. The traveler was grateful, remembering how the innkeeper made space and adjusted to help. **一位旅行者迷路又疲惫。一位善良的旅店老板接待了他，提供了舒适的房间和温暖的食物。旅行者很感激，记住了老板如何腾出空间并做出调整来帮助他。**"
000095,accommodation,> A traveler was lost and in need of accommodation. A kind local led him to a cozy place with beds and rooms. The traveler was grateful for this place that provided him with a comfortable stay. **一位旅行者迷路了，急需住宿。一位善良的当地人带他去了一个有床和房间的舒适地方。旅行者很感激这个为他提供舒适停留的地方。**
