id,word,phrase,meaning
000022,able,able-bodied,体格健全的；强壮的
000022,able,able seaman,（英国海军）一等水兵
000022,able,able person,能人；有能力的人
000022,able,mentally able,心智健全的
000023,abnormal,abnormal behavior,异常行为
000023,abnormal,abnormal phenomenon,反常现象
000023,abnormal,abnormal condition,异常情况
000023,abnormal,abnormal psychology,变态心理学
000023,abnormal,abnormal growth,异常生长
000024,abnormality,genetic abnormality,遗传异常
000024,abnormality,structural abnormality,结构异常
000024,abnormality,behavioral abnormality,行为异常
000024,abnormality,chromosomal abnormality,染色体异常
000024,abnormality,mental abnormality,精神异常
000025,aboard,go aboard,上船；登机；上车
000025,aboard,all aboard,请大家上车/船/飞机
000025,aboard,come aboard,上船；登机；上车
000025,aboard,welcome aboard,欢迎登机/上船
000025,aboard,be aboard,在船上；在飞机上；在火车上
000026,abolish,abolish slavery,废除奴隶制
000026,abolish,abolish a law,废除一项法律
000026,abolish,abolish a custom,废除一种习俗
000026,abolish,abolish a system,废除一个制度
000026,abolish,abolish a tax,废除一项税收
000027,abolition,abolition of slavery,废除奴隶制
000027,abolition,demand abolition,要求废除
000027,abolition,the abolition movement,废除运动
000027,abolition,achieve abolition,实现废除
000027,abolition,oppose abolition,反对废除
000028,abolitionist,abolitionist movement,废奴运动
000028,abolitionist,prominent abolitionist,杰出的废奴主义者
000028,abolitionist,anti-slavery abolitionist,反奴隶制的废奴主义者
000028,abolitionist,passionate abolitionist,充满激情的废奴主义者
000028,abolitionist,early abolitionist,早期的废奴主义者
000029,abomination,an abomination to,令\...\...憎恶
000029,abomination,commit abomination,犯下可憎的罪行
000029,abomination,abomination of desolation,荒凉的可憎之物
000029,abomination,hold something in abomination,对某物深恶痛绝
000029,abomination,abomination of nature,违背自然的事物
000030,aboriginal,aboriginal art,原住民艺术
000030,aboriginal,aboriginal culture,原住民文化
000030,aboriginal,aboriginal population,原住民人口
000030,aboriginal,aboriginal rights,原住民权利
000030,aboriginal,aboriginal language,原住民语言
000031,abort,abort mission,中止任务
000031,abort,abort pregnancy,终止妊娠
000031,abort,abort operation,中止操作
000031,abort,abort takeoff,中断起飞
000031,abort,abort attempt,放弃尝试
000032,abortion,induced abortion,人工流产
000032,abortion,spontaneous abortion,自然流产
000032,abortion,abortion rate,堕胎率
000032,abortion,illegal abortion,非法堕胎
000032,abortion,threatened abortion,先兆流产
000033,abound,abound in,充满；富于
000033,abound,abound with,充满；有大量的
000033,abound,abound to,一定；必然
000033,abound,abound among,在\...中大量存在
000033,abound,abound throughout,遍布；到处都是
000034,about,about to,即将；正要
000034,about,be about,从事于；忙于
000034,about,about face,（军队）向后转；（态度、观点等）彻底改变
000034,about,how about,（用于提出建议或询问情况）怎么样
000034,about,what about,（用于征求意见或询问情况）怎么样
000035,above,above all,首先；尤其是
000035,above,above average,高于平均水平
000035,above,above board,光明正大；诚实的
000035,above,get above oneself,自高自大；变得傲慢
000035,above,look above,向上看
000036,abrasion,abrasion resistance,耐磨性；抗磨损性
000036,abrasion,surface abrasion,表面磨损
000036,abrasion,abrasion test,磨损试验；耐磨试验
000036,abrasion,corneal abrasion,角膜擦伤
000036,abrasion,abrasion mark,磨损痕迹
000037,abrasive,abrasive material,研磨材料；磨料
000037,abrasive,abrasive wheel,砂轮；磨轮
000037,abrasive,abrasive action,磨损作用；研磨作用
000037,abrasive,abrasive powder,研磨粉；磨料粉
000037,abrasive,abrasive surface,粗糙表面；研磨面
000038,abreast,keep abreast of,与......并驾齐驱；了解......的最新情况
000038,abreast,be abreast of,与......并列；跟上......
000038,abreast,abreast of the times,与时俱进
000038,abreast,ride abreast,并排骑行
000038,abreast,walk abreast,并排走
000039,abroad,go abroad,出国
000039,abroad,study abroad,出国留学
000039,abroad,travel abroad,出国旅行
000039,abroad,live abroad,在国外生活
000039,abroad,work abroad,在国外工作
000040,abrupt,abrupt change,突然的变化
000040,abrupt,abrupt departure,突然离开
000040,abrupt,abrupt end,突然结束
000040,abrupt,abrupt turn,突然转弯
000040,abrupt,abrupt stop,突然停止
000041,abruptly,stop abruptly,突然停止
000041,abruptly,end abruptly,突然结束
000041,abruptly,leave abruptly,突然离开
000041,abruptly,change abruptly,突然改变
000041,abruptly,appear abruptly,突然出现
000042,abscess,brain abscess,脑脓肿
000042,abscess,liver abscess,肝脓肿
000042,abscess,dental abscess,牙龈脓肿
000042,abscess,cutaneous abscess,皮肤脓肿
000042,abscess,subcutaneous abscess,皮下脓肿
000043,absence,in absence,不在；缺席
000043,absence,absence of mind,心不在焉
000043,absence,in the absence of,缺乏；不存在；在......不在场的情况下
000043,absence,long absence,长期缺席
000043,absence,temporary absence,暂时缺席
000044,absent,absent from,缺席；不在
000044,absent,be absent,缺席；不在
000044,absent,absent-minded,心不在焉的；走神的
000044,absent,absent oneself from,缺席；不在
000044,absent,in an absent way,心不在焉地
000045,absentee,absentee ballot,缺席选票
000045,absentee,absentee landlord,在外地的地主；外居地主
000045,absentee,absentee owner,未在场的业主
000045,absentee,absentee voting,缺席投票
000045,absentee,absentee rate,缺勤率
000046,absently,absently minded,心不在焉的
000046,absently,absently stare,心不在焉地凝视
000046,absently,absently listen,心不在焉地听
000046,absently,absently nod,心不在焉地点头
000046,absently,absently wander,心不在焉地漫步
000047,absolute,absolute power,绝对权力
000047,absolute,absolute zero,绝对零度
000047,absolute,absolute majority,绝对多数
000047,absolute,absolute silence,绝对安静
000047,absolute,absolute monarchy,君主专制政体
000048,absolutely,absolutely necessary,绝对必要的
000048,absolutely,absolutely right,绝对正确的
000048,absolutely,absolutely impossible,绝对不可能的
000048,absolutely,absolutely certain,绝对肯定的
000048,absolutely,absolutely wonderful,绝对精彩的
000049,absolve,absolve sb. from blame,使某人免受责备
000049,absolve,absolve sb. of sin,赦免某人的罪过
000049,absolve,absolve oneself of responsibility,开脱自己的责任
000049,absolve,be absolved of guilt,被免除罪责
000049,absolve,absolve from obligation,解除义务
000050,absorb,absorb in,全神贯注于；专心于
000050,absorb,be absorbed by,被\...\...吸收
000050,absorb,be absorbed into,被吸收进；被融入
000050,absorb,absorb oneself in,专心于；全神贯注于
000050,absorb,absorb knowledge,吸收知识
000051,absorbing,be absorbing in,全神贯注于
000051,absorbing,an absorbing story,引人入胜的故事
000051,absorbing,absorbing capacity,吸收能力；吸纳能力
000051,absorbing,absorbing interest,引人入胜的兴趣
000051,absorbing,absorbing experience,吸引人的经历
000052,absorption,absorption capacity,吸收能力
000052,absorption,absorption coefficient,吸收系数
000052,absorption,absorption spectrum,吸收光谱
000052,absorption,heat absorption,热吸收
000052,absorption,water absorption,吸水性；水吸收
000053,abstain,abstain from,戒；避免；弃权
000053,abstain,abstain completely,完全戒除
000053,abstain,abstain voluntarily,自愿弃权
000053,abstain,abstain temporarily,暂时戒除
000053,abstain,abstain religiously,出于宗教原因戒绝
000054,abstinence,total abstinence,完全戒绝
000054,abstinence,abstinence syndrome,戒断综合征
000054,abstinence,sexual abstinence,性节制；禁欲
000054,abstinence,abstinence from alcohol,戒酒
000054,abstinence,abstinence of smoking,戒烟
000055,abstract,abstract art,抽象艺术
000055,abstract,abstract idea,抽象的想法
000055,abstract,abstract noun,抽象名词
000055,abstract,in the abstract,抽象地；理论上
000055,abstract,make an abstract,做摘要
000056,abstraction,data abstraction,数据抽象
000056,abstraction,abstraction layer,抽象层
000056,abstraction,conceptual abstraction,概念抽象
000056,abstraction,degree of abstraction,抽象程度
000056,abstraction,logical abstraction,逻辑抽象
000057,absurd,absurd idea,荒谬的想法
000057,absurd,absurd story,荒唐的故事
000057,absurd,absurd behavior,荒谬的行为
000057,absurd,absurd claim,荒谬的主张
000057,absurd,absurd situation,荒唐的局面
000058,absurdity,the absurdity of life,生活的荒谬
000058,absurdity,utter absurdity,十足的荒谬
000058,absurdity,point out the absurdity,指出荒谬之处
000058,absurdity,reduce absurdity,减少荒谬
000058,absurdity,expose absurdity,揭露荒谬
000059,absurdly,absurdly high,高得离谱
000059,absurdly,absurdly low,低得荒谬
000059,absurdly,absurdly expensive,贵得荒唐
000059,absurdly,absurdly funny,荒唐可笑
000059,absurdly,absurdly difficult,难得出奇
000060,abundance,an abundance of,大量的；丰富的
000060,abundance,in abundance,大量；丰富；充裕
000060,abundance,abundance mentality,富足心态
000060,abundance,relative abundance,相对丰度
000060,abundance,natural abundance,自然丰度
000061,abundant,abundant evidence,充足的证据
000061,abundant,abundant resources,丰富的资源
000061,abundant,abundant supply,大量供应
000061,abundant,abundant rainfall,充沛的降雨
000061,abundant,abundant harvest,丰收
000062,abundantly,abundantly clear,十分清楚；显而易见
000062,abundantly,abundantly provided,大量供应；充足提供
000062,abundantly,abundantly evident,非常明显；极为显著
000062,abundantly,abundantly illustrated,大量举例说明；充分阐明
000062,abundantly,abundantly present,大量存在；丰富地呈现
000063,abuse,child abuse,虐待儿童
000063,abuse,drug abuse,药物滥用；吸毒
000063,abuse,verbal abuse,言语虐待；谩骂
000063,abuse,alcohol abuse,酗酒；酒精滥用
000063,abuse,abuse of power,滥用权力
000064,abusive,abusive language,辱骂性语言
000064,abusive,abusive behavior,辱骂行为；虐待行为
000064,abusive,abusive relationship,虐待关系；不良关系
000064,abusive,abusive remarks,辱骂性言论
000064,abusive,abusive power,滥用权力
000065,abut,abut against,紧靠；邻接
000065,abut,abut on,邻接；毗连
000065,abut,abut upon,紧靠着；与......邻接
000065,abut,abut with,与......相毗邻
000065,abut,edge abut,边缘邻接
000066,abysmal,abysmal ignorance,极度的无知
000066,abysmal,abysmal failure,惨败
000066,abysmal,abysmal performance,极差的表现
000066,abysmal,abysmal conditions,恶劣的条件
000066,abysmal,abysmal poverty,极度贫困
000067,abyss,abyssal depth,深渊的深度
000067,abyss,abyss of despair,绝望的深渊
000067,abyss,plunge into the abyss,陷入深渊
000067,abyss,the brink of the abyss,深渊的边缘
000067,abyss,abyss of ignorance,无知的深渊
000068,academia,academic research,学术研究
000068,academia,academic achievement,学术成就
000068,academia,academic community,学术界
000068,academia,academic degree,学位
000068,academia,academic writing,学术写作
000069,academic,academic achievement,学业成就
000069,academic,academic background,学术背景
000069,academic,academic degree,学位
000069,academic,academic research,学术研究
000069,academic,academic year,学年
000070,academically,academically inclined,有学术倾向的
000070,academically,academically successful,学业有成的
000070,academically,academically challenging,学术上具有挑战性的
000070,academically,academically rigorous,学术严谨的
000070,academically,academically motivated,有学术积极性的
000071,academy,military academy,军事学院
000071,academy,academy award,奥斯卡金像奖；学院奖
000071,academy,naval academy,海军学院
000071,academy,police academy,警察学校
000071,academy,art academy,艺术学院
000072,accede,accede to,同意；答应；应允
000072,accede,accede to a request,答应请求
000072,accede,accede to a proposal,同意提议
000072,accede,accede to power,就职；掌权
000072,accede,accede to a treaty,加入条约
000073,accelerate,accelerate growth,加速增长
000073,accelerate,accelerate progress,加快进度
000073,accelerate,accelerate development,促进发展
000073,accelerate,accelerate the pace,加快步伐
000073,accelerate,accelerate change,加速变革
000074,accelerated,accelerated growth,加速增长
000074,accelerated,accelerated depreciation,加速折旧
000074,accelerated,accelerated motion,加速运动
000074,accelerated,accelerated learning,加速学习
000074,accelerated,accelerated aging,加速老化
000075,acceleration,constant acceleration,匀加速度
000075,acceleration,angular acceleration,角加速度
000075,acceleration,centripetal acceleration,向心加速度
000075,acceleration,linear acceleration,线加速度
000075,acceleration,acceleration of gravity,重力加速度
000076,accelerator,particle accelerator,粒子加速器
000076,accelerator,gas accelerator,气体加速器
000076,accelerator,electron accelerator,电子加速器
000076,accelerator,accelerator pedal,（汽车的）油门踏板
000076,accelerator,linear accelerator,直线加速器
000077,accent,accent mark,重音符号
000077,accent,foreign accent,外国口音
000077,accent,regional accent,地方口音
000077,accent,strong accent,浓重的口音
000077,accent,put on an accent,装出某种口音
000078,accentuate,accentuate the positive,强调积极的方面
000078,accentuate,accentuate differences,突出差异
000078,accentuate,accentuate one\'s beauty,突出某人的美
000078,accentuate,accentuate the importance,强调重要性
000078,accentuate,accentuate the contrast,强调对比
000079,accept,accept responsibility,承担责任
000079,accept,accept an invitation,接受邀请
000079,accept,accept a gift,接受礼物
000079,accept,accept defeat,接受失败
000079,accept,accept the situation,接受现状
000080,acceptability,degree of acceptability,可接受程度
000080,acceptability,margin of acceptability,可接受的余地
000080,acceptability,criteria of acceptability,可接受的标准
000080,acceptability,level of acceptability,可接受的水平
000080,acceptability,range of acceptability,可接受的范围
000081,acceptable,acceptable level,可接受的水平
000081,acceptable,acceptable risk,可接受的风险
000081,acceptable,acceptable quality,可接受的质量
000081,acceptable,acceptable solution,可接受的解决方案
000081,acceptable,acceptable performance,可接受的表现
000082,acceptance,wide acceptance,广泛接受
000082,acceptance,social acceptance,社会认可
000082,acceptance,general acceptance,普遍接受
000082,acceptance,public acceptance,公众接受
000082,acceptance,mutual acceptance,相互接受
000083,accepted,accepted practice,公认的惯例
000083,accepted,accepted standard,公认的标准
000083,accepted,widely accepted,广泛接受的
000083,accepted,generally accepted,普遍接受的
000083,accepted,accepted wisdom,公认的智慧
000084,access,access control,访问控制；存取控制
000084,access,access point,接入点；访问点
000084,access,access time,存取时间；访问时间
000084,access,gain access,获得访问权限；得以进入
000084,access,easy access,容易接近；便于获取
000085,accessibility,accessibility audit,可访问性审计
000085,accessibility,accessibility guidelines,可访问性指南
000085,accessibility,accessibility features,可访问性特性
000085,accessibility,accessibility standards,可访问性标准
000085,accessibility,accessibility testing,可访问性测试
000086,accessible,accessible information,可获取的信息
000086,accessible,accessible location,容易到达的位置
000086,accessible,accessible price,可承受的价格
000086,accessible,accessible route,畅通的路线
000086,accessible,accessible service,易获得的服务
000087,accession,accession number,登录号； accession 编号
000087,accession,accession agreement,加入协议
000087,accession,accession criteria,加入标准
000087,accession,accession state,加入国
000087,accession,date of accession,加入日期
000088,accessory,accessory nerve,副神经
000088,accessory,accessory equipment,辅助设备
000088,accessory,accessory before the fact,事前从犯
000088,accessory,accessory after the fact,事后从犯
000088,accessory,accessory mineral,副矿物
000089,accident,traffic accident,交通事故
000089,accident,by accident,偶然；意外地
000089,accident,car accident,车祸
000089,accident,accident insurance,意外保险
000089,accident,industrial accident,工业事故
000090,accidental,accidental death,意外死亡
000090,accidental,accidental damage,意外损坏
000090,accidental,accidental meeting,偶然相遇
000090,accidental,accidental discovery,意外发现
000090,accidental,accidental injury,意外伤害
000091,accidentally,accidentally discovered,意外发现
000091,accidentally,accidentally injured,意外受伤
000091,accidentally,accidentally deleted,意外删除
000091,accidentally,accidentally met,意外遇见
000091,accidentally,accidentally exposed,意外暴露
000092,acclaim,universal acclaim,普遍称赞
000092,acclaim,public acclaim,公众赞誉
000092,acclaim,critical acclaim,评论家的称赞
000092,acclaim,win acclaim,赢得称赞
000092,acclaim,deserve acclaim,值得称赞
000093,accolade,bestow an accolade,授予荣誉
000093,accolade,deserve an accolade,值得称赞
000093,accolade,receive an accolade,获得荣誉
000093,accolade,earn an accolade,赢得赞誉
000093,accolade,give an accolade,给予表扬
000094,accommodate,accommodate oneself to,使自己适应于
000094,accommodate,accommodate with,向\...提供；供应
000094,accommodate,be accommodated in,被安置在
000094,accommodate,accommodate sb. for the night,留某人过夜
000094,accommodate,accommodate to changes,适应变化
000095,accommodation,accommodation facilities,住宿设施
000095,accommodation,temporary accommodation,临时住宿
000095,accommodation,student accommodation,学生宿舍
000095,accommodation,luxury accommodation,豪华住宿
000095,accommodation,accommodation address,住宿地址
000096,accompaniment,musical accompaniment,音乐伴奏
000096,accompaniment,vocal accompaniment,声乐伴奏
000096,accompaniment,instrumental accompaniment,器乐伴奏
000096,accompaniment,provide accompaniment,提供伴奏
000096,accompaniment,accompaniment music,伴奏音乐
000097,accompany,accompany with,伴有；带有
000097,accompany,accompany by,由\...\...陪伴
000097,accompany,accompany someone to do something,陪某人做某事
000097,accompany,accompany on,在\...\...上陪伴
000097,accompany,accompany throughout,自始至终陪伴
000098,accompanying,accompanying document,随附文件
000098,accompanying,accompanying circumstances,伴随情况
000098,accompanying,accompanying music,伴奏音乐
000098,accompanying,accompanying symptoms,伴随症状
000098,accompanying,accompanying person,陪同人员
000099,accomplice,accessory accomplice,从犯
000099,accomplice,accomplice witness,同案证人
000099,accomplice,accomplice liability,共犯责任
000099,accomplice,unwitting accomplice,不知情的共犯
000099,accomplice,intentional accomplice,故意的共犯
000100,accomplish,accomplish a task,完成一项任务
000100,accomplish,accomplish one\'s goal,实现某人的目标
000100,accomplish,accomplish a mission,完成一项使命
000100,accomplish,accomplish great things,成就伟大的事业
000100,accomplish,accomplish an objective,达成一个目标
000101,accomplished,accomplished fact,既成事实
000101,accomplished,accomplished musician,有造诣的音乐家
000101,accomplished,accomplished athlete,有成就的运动员
000101,accomplished,highly accomplished,高度完成的；非常有成就的
000101,accomplished,accomplished performer,出色的表演者
000102,accomplishment,great accomplishment,巨大的成就
000102,accomplishment,personal accomplishment,个人成就
000102,accomplishment,sense of accomplishment,成就感
000102,accomplishment,academic accomplishment,学术成就
000102,accomplishment,professional accomplishment,职业成就
000103,accord,in accord with,与\...\...一致；符合
000103,accord,of one\'s own accord,自愿地；主动地
000103,accord,with one accord,一致地；一致同意地
000103,accord,accord priority to,给\...\...以优先权
000103,accord,accord sb. permission,准许某人
000104,accordance,in accordance with,依照；与\...一致
000104,accordance,act in accordance with,按照\...行动
000104,accordance,be in accordance,相符；一致
000104,accordance,conform in accordance,依照符合
000104,accordance,in strict accordance,严格依照
000105,according,according to,根据；按照
000105,according,according as,依据；取决于
000105,according,act according to,按照\...行动
000105,according,judge according to,根据\...判断
000105,according,arrange according to,根据\...安排
000106,accordingly,act accordingly,相应地行动
000106,accordingly,adjust accordingly,相应地调整
000106,accordingly,respond accordingly,相应地回应
000106,accordingly,behave accordingly,相应地表现
000106,accordingly,arrange accordingly,相应地安排
000107,accordion,accordion door,折叠门
000107,accordion,accordion file,折叠式文件夹
000107,accordion,accordion pleat,手风琴褶
000107,accordion,accordion player,手风琴演奏者
000107,accordion,accordion wall,折叠墙
000108,accost,accost somebody,和某人搭讪
000108,accost,be accosted by,被\...搭讪
000108,accost,accost angrily,生气地搭讪
000108,accost,accost politely,礼貌地搭讪
000108,accost,accost suddenly,突然搭讪
000109,account,account for,说明（原因、理由等）；导致；（在数量、比例上）占
000109,account,on account of,因为；由于
000109,account,take into account,考虑到；顾及
000109,account,give an account of,叙述；说明；汇报
000109,account,bank account,银行账户
000110,accountability,public accountability,公共责任
000110,accountability,corporate accountability,公司责任
000110,accountability,accountability system,责任制度
000110,accountability,political accountability,政治责任
000110,accountability,fiscal accountability,财政责任
000111,accountable,be accountable for,对\...\...负责
000111,accountable,hold accountable,追究\...\...的责任
000111,accountable,make accountable,使\...\...负责
000111,accountable,accountable to,对\...\...负责
000111,accountable,remain accountable,继续负责
000112,accountant,certified public accountant,注册会计师
000112,accountant,chartered accountant,特许会计师
000112,accountant,cost accountant,成本会计师
000112,accountant,management accountant,管理会计师
000112,accountant,tax accountant,税务会计师
000113,accounting,cost accounting,成本会计
000113,accounting,financial accounting,财务会计
000113,accounting,management accounting,管理会计
000113,accounting,accounting information,会计信息
000113,accounting,accounting system,会计系统
000114,accredit,accredit agency,认证机构
000114,accredit,accredit certificate,认证证书
000114,accredit,accredit system,认证体系
000114,accredit,accredit standard,认证标准
000114,accredit,accredit process,认证过程
000115,accreditation,accreditation agency,认证机构
000115,accreditation,accreditation process,认证过程
000115,accreditation,professional accreditation,专业认证
000115,accreditation,accreditation criteria,认证标准
000115,accreditation,accreditation certificate,认证证书
000116,accredited,accredited school,经认可的学校
000116,accredited,accredited journalist,被认可的记者
000116,accredited,accredited laboratory,获认可的实验室
000116,accredited,accredited investor,合资格投资者；获许投资者
000116,accredited,accredited certificate,认可证书
000117,accretion,accretion disk,吸积盘
000117,accretion,accretion process,吸积过程
000117,accretion,accretion rate,吸积率
000117,accretion,continental accretion,大陆增生
000117,accretion,accretionary prism,增生棱柱体
000118,accrue,accrue interest,产生利息
000118,accrue,accrue benefits,累积利益
000118,accrue,accrue debts,累积债务
000118,accrue,accrue experience,积累经验
000118,accrue,accrue points,累积积分
000119,acculturation,acculturation process,文化适应过程
000119,acculturation,acculturation strategy,文化适应策略
000119,acculturation,positive acculturation,积极的文化适应
000119,acculturation,forced acculturation,被迫的文化适应
000119,acculturation,acculturation stress,文化适应压力
000120,accumulate,accumulate experience,积累经验
000120,accumulate,accumulate wealth,积累财富
000120,accumulate,accumulate knowledge,积累知识
000120,accumulate,accumulate evidence,收集证据
000120,accumulate,accumulate points,积累分数
000121,accumulation,accumulation of wealth,财富的积累
000121,accumulation,accumulation of knowledge,知识的积累
000121,accumulation,accumulation of data,数据的积累
000121,accumulation,accumulation of experience,经验的积累
000121,accumulation,accumulation of stress,压力的积聚
000122,accuracy,accuracy rate,准确率；精确度
000122,accuracy,high accuracy,高精度；高准确度
000122,accuracy,measurement accuracy,测量精度；测量准确度
000122,accuracy,accuracy of measurement,测量的准确性
000122,accuracy,improve accuracy,提高精度；提高准确度
000123,accurate,accurate measurement,精确测量
000123,accurate,accurate information,准确信息
000123,accurate,accurate description,准确描述
000123,accurate,accurate prediction,准确预测
000123,accurate,accurate record,准确记录
000124,accurately,accurately predict,准确预测
000124,accurately,measure accurately,精确测量
000124,accurately,describe accurately,准确描述
000124,accurately,estimate accurately,准确估计
000124,accurately,identify accurately,准确识别
000125,accusation,false accusation,诬告；不实指控
000125,accusation,level an accusation,提出指控
000125,accusation,groundless accusation,毫无根据的指控
000125,accusation,face an accusation,面临指控
000125,accusation,make an accusation,进行指控
000126,accuse,accuse sb of sth,指责某人某事
000126,accuse,be accused of,被指控；被指责
000126,accuse,accuse falsely,诬告；错告
000126,accuse,accuse openly,公开指责
000126,accuse,accuse seriously,严厉指责
000127,accused,the accused,被告
000127,accused,accused of,被指控\...\...
000127,accused,be accused as,被指责为\...\...
000127,accused,the main accused,主要被告
000127,accused,accused person,被指控的人
000128,accuser,The accuser stood firm,原告立场坚定
000128,accuser,False accuser,诬告者
000128,accuser,Convincing accuser,有说服力的指控者
000128,accuser,Aggressive accuser,咄咄逼人的控告者
000128,accuser,Relentless accuser,坚持不懈的指控者
000129,accustom,accustom oneself to,使自己习惯于
000129,accustom,be accustomed to,习惯于
000129,accustom,accustom sb to sth,使某人习惯于某事
000129,accustom,get accustomed to,变得习惯于
000129,accustom,become accustomed to,变得习惯于
000130,accustomed,be accustomed to,习惯于
000130,accustomed,become accustomed to,变得习惯于
000130,accustomed,get accustomed to,适应；习惯
000130,accustomed,accustomed habits,习惯的习性
000130,accustomed,accustomed way,习惯的方式
000131,ace,ace in the hole,秘藏的王牌；应急的绝招
000131,ace,an ace up one\'s sleeve,袖中王牌；秘而不宣的优势
000131,ace,hold all the aces,占尽上风；有绝对优势
000131,ace,within an ace of,几乎；差一点儿
000131,ace,play one\'s ace,打出王牌；使出绝招
000132,ache,headache,头痛
000132,ache,stomachache,胃痛；肚子疼
000132,ache,toothache,牙痛
000132,ache,backache,背痛
000132,ache,heartache,心痛；悲叹
000133,achievable,achievable goal,可实现的目标
000133,achievable,achievable target,可达成的目标
000133,achievable,achievable standard,可达到的标准
000133,achievable,achievable outcome,可实现的结果
000133,achievable,achievable performance,可实现的性能
000134,achieve,achieve success,取得成功
000134,achieve,achieve one\'s goal,实现某人的目标
000134,achieve,achieve a high score,取得高分
000134,achieve,achieve great progress,取得巨大进步
